date,hitVal,otherInfo
4/11,False,n/a
4/14,False,n/a
4/21,False,n/a
4/24,True,n/a
4/25,True,n/a
4/27,True,n/a
4/28,True,n/a
4/29,False,n/a
4/30,True,n/a
5/1,True,n/a
5/2,False,n/a
5/3,False,n/a
5/4,True,n/a
5/5,True,n/a
5/7,False,n/a
5/8,True,n/a
5/9,False,n/a
5/11,True,n/a
5/15,True,n/a
5/16,False,n/a
5/25,False,n/a
6/5,False,n/a
6/8,True,n/a
6/10,False,n/a
6/11,False,n/a
6/30,True,n/a
7/2,False,n/a
7/3,True,n/a
7/5,True,n/a
7/6,True,n/a
7/15,False,n/a
7/16,False,n/a
7/19,True,n/a
7/22,True,n/a
7/24,False,n/a
7/28,True,n/a
7/30,False,n/a
8/1,True,n/a
8/2,False,n/a
8/14,True,n/a
8/15,True,n/a
9/28,False,n/a
10/2,False,n/a
