date,hitVal,otherInfo,opPitcherEra
4/4,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,1.5
4/11,True,n/a,inf
4/12,True,n/a,1.29
4/14,True,n/a,1.69
4/15,True,n/a,4.5
4/16,True,Suspended-Valid.,4.5
4/17,True,n/a,3.97
4/18,False,n/a,1.13
4/19,False,n/a,3.24
4/20,True,n/a,2.19
4/21,False,n/a,1.38
4/22,False,n/a,2.08
4/23,False,n/a,3.15
4/24,True,n/a,4.34
4/25,True,n/a,4.67
4/26,True,n/a,1.93
4/27,True,n/a,4.0
4/28,False,n/a,5.41
4/30,True,n/a,4.84
5/1,False,n/a,12.21
5/2,True,n/a,3.38
5/3,True,n/a,5.74
5/4,True,n/a,4.59
5/5,True,n/a,5.77
5/6,True,n/a,5.57
5/7,False,n/a,1.44
5/8,True,n/a,2.74
5/9,True,n/a,1.99
5/10,True,n/a,5.4
5/11,True,n/a,3.82
5/12,False,n/a,3.19
5/14,True,n/a,6.81
5/15,False,n/a,3.99
5/17,True,n/a,1.38
5/18,True,n/a,3.71
5/19,True,n/a,4.93
5/20,False,n/a,2.63
5/21,False,n/a,4.29
5/22,False,n/a,5.24
5/23,False,n/a,1.64
5/24,True,n/a,3.35
5/25,True,n/a,3.08
5/26,True,n/a,2.37
5/27,False,n/a,4.73
5/28,False,n/a,4.53
5/29,False,n/a,3.57
6/1,True,n/a,3.54
6/2,True,n/a,4.91
6/3,True,n/a,1.88
6/4,True,n/a,3.18
6/5,True,n/a,3.84
6/6,True,n/a,5.28
6/7,False,n/a,3.53
6/8,False,n/a,6.08
6/9,False,n/a,5.46
6/10,True,n/a,3.54
6/11,True,n/a,3.98
6/12,True,n/a,6.07
6/13,True,n/a,3.98
6/15,True,n/a,3.17
6/16,True,n/a,4.45
6/17,True,n/a,4.61
6/18,True,n/a,2.98
6/19,True,n/a,6.65
6/20,True,n/a,3.1
6/22,False,n/a,4.0
6/23,True,n/a,1.15
6/24,True,n/a,4.03
6/25,False,n/a,2.91
8/17,False,n/a,2.85
8/18,True,n/a,6.36
