date,hitVal,otherInfo
4/19,False,n/a
5/13,False,n/a
5/30,True,n/a
6/20,True,n/a
6/26,True,n/a
7/21,True,n/a
7/28,False,n/a
8/4,False,n/a
8/8,True,n/a
8/11,False,n/a
8/15,False,n/a
8/21,False,n/a
8/25,True,n/a
8/29,True,n/a
8/30,False,n/a
8/31,True,n/a
9/1,True,n/a
9/3,True,n/a
9/5,True,n/a
9/6,True,n/a
9/7,True,n/a
9/8,True,n/a
9/10,True,n/a
9/11,True,n/a
9/12,True,n/a
9/14,True,n/a
9/15,True,n/a
9/17,True,n/a
9/19,True,n/a
9/20,True,n/a
9/24,False,n/a
9/25,True,n/a
9/26,False,n/a
9/30,True,n/a
10/1,True,n/a
10/2,False,n/a
