date,hitVal,otherInfo,opPitcherEra
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/11,False,n/a,5.4
4/12,True,n/a,4.27
4/13,True,n/a,3.6
4/14,True,n/a,9.66
4/16,False,Suspended-Valid.,inf
4/17,False,n/a,3.6
4/18,True,n/a,7.2
4/19,True,n/a,1.42
4/20,False,n/a,1.38
4/21,False,n/a,3.0
4/22,True,n/a,6.0
4/23,False,n/a,inf
4/24,False,n/a,1.57
4/25,True,n/a,7.31
4/27,True,n/a,2.74
4/28,True,n/a,2.77
4/29,True,n/a,3.55
4/30,False,n/a,4.13
5/1,False,n/a,3.65
5/2,False,n/a,2.56
5/4,False,n/a,3.6
5/5,False,n/a,0.0
5/6,True,n/a,5.28
5/7,False,n/a,3.46
5/8,False,n/a,7.12
5/9,False,n/a,4.14
5/10,False,n/a,5.3
5/12,True,n/a,2.66
5/14,False,n/a,1.71
5/15,True,n/a,3.0
5/17,True,n/a,3.43
5/18,True,n/a,5.35
5/19,False,n/a,3.35
5/20,True,n/a,1.79
5/21,False,n/a,3.67
5/22,False,n/a,4.31
5/23,True,n/a,6.75
5/24,True,n/a,3.26
5/25,False,n/a,3.47
5/26,True,n/a,5.07
5/27,False,n/a,6.31
5/28,False,n/a,5.68
5/29,True,n/a,2.37
5/30,False,n/a,6.05
5/31,False,n/a,6.66
6/1,True,n/a,6.12
6/4,False,n/a,3.48
6/5,False,n/a,inf
6/6,True,n/a,5.34
6/8,True,n/a,4.63
6/9,True,n/a,2.77
6/10,True,n/a,3.43
6/11,True,n/a,3.18
6/12,True,n/a,4.6
6/13,False,n/a,4.48
6/15,True,n/a,4.48
6/16,True,n/a,3.69
6/17,True,n/a,2.43
6/18,True,n/a,4.57
6/19,True,n/a,4.25
6/20,True,n/a,1.86
6/22,False,n/a,3.19
6/23,True,n/a,5.27
6/24,True,n/a,2.88
6/25,False,n/a,5.05
6/26,True,n/a,3.6
6/27,True,n/a,4.59
6/29,False,n/a,4.69
6/30,True,n/a,4.5
7/1,False,n/a,3.33
7/2,False,n/a,4.97
7/4,True,n/a,6.03
7/5,False,n/a,4.5
7/6,True,n/a,5.4
7/7,True,n/a,4.96
7/8,True,n/a,4.59
7/9,True,n/a,3.69
7/11,False,n/a,5.22
7/16,False,n/a,3.09
7/17,True,n/a,4.81
7/18,True,n/a,2.7
7/19,False,n/a,5.65
7/20,True,n/a,4.39
7/21,False,n/a,6.38
7/23,False,n/a,3.65
7/24,True,n/a,3.89
7/25,False,n/a,5.26
7/26,False,n/a,4.43
7/27,True,n/a,3.76
7/28,True,n/a,2.72
7/29,True,n/a,5.55
7/30,False,n/a,4.04
7/31,False,n/a,4.54
8/16,True,n/a,2.57
8/17,True,n/a,3.38
8/18,False,n/a,4.19
8/19,True,n/a,2.5
8/20,False,n/a,3.71
8/21,True,n/a,2.89
8/22,False,n/a,3.44
8/23,True,n/a,6.4
8/24,False,n/a,3.94
8/25,True,n/a,4.39
8/27,True,n/a,3.26
8/28,False,n/a,2.26
8/29,True,n/a,4.51
8/30,True,n/a,3.8
8/31,False,n/a,3.55
9/1,False,n/a,3.61
9/3,False,n/a,5.35
9/4,False,n/a,3.94
9/6,False,n/a,3.27
9/7,False,n/a,4.3
9/8,True,n/a,5.19
9/10,False,n/a,3.77
9/11,True,n/a,3.51
9/13,False,n/a,3.14
9/14,True,n/a,2.92
9/15,True,n/a,4.26
9/17,False,n/a,3.04
9/18,True,n/a,4.18
9/20,True,n/a,4.3
9/21,False,n/a,4.31
9/24,False,n/a,3.75
9/25,False,n/a,3.83
9/26,True,n/a,4.23
9/27,False,n/a,4.59
9/28,True,n/a,4.9
9/29,False,n/a,5.29
9/30,False,n/a,4.23
10/1,False,n/a,4.46
10/2,True,n/a,5.31
10/3,True,n/a,6.68
