date,hitVal,otherInfo,opPitcherEra
4/18,True,n/a,2.8
4/24,False,n/a,1.77
5/2,False,n/a,4.68
5/4,False,n/a,4.4
5/8,True,n/a,2.97
5/12,False,n/a,7.5
5/16,True,n/a,4.77
5/17,True,n/a,6.36
5/28,False,n/a,3.45
6/11,False,n/a,3.01
6/13,True,n/a,6.13
6/15,False,n/a,1.96
6/17,False,n/a,4.8
6/19,True,n/a,2.39
7/1,False,n/a,6.18
7/4,True,n/a,4.5
7/7,True,n/a,3.5
7/8,False,n/a,3.22
7/10,False,n/a,3.01
7/24,True,n/a,5.45
7/25,True,n/a,inf
8/1,False,n/a,4.79
8/7,True,n/a,4.48
8/10,False,n/a,3.3
8/14,True,n/a,6.75
8/17,True,n/a,3.72
8/18,True,n/a,5.16
8/19,False,n/a,5.53
8/20,False,n/a,2.62
8/23,True,n/a,4.45
8/27,True,n/a,5.09
8/30,True,n/a,2.43
8/31,True,n/a,3.61
9/3,True,n/a,4.27
9/5,True,n/a,3.74
9/7,False,n/a,5.12
9/11,False,n/a,3.99
9/19,True,n/a,6.33
10/2,True,n/a,5.2
10/3,False,n/a,4.47
