date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,7.2
4/12,False,n/a,2.46
4/14,False,n/a,1.29
4/16,False,n/a,2.4
4/17,False,n/a,8.44
4/18,True,n/a,4.5
4/20,False,n/a,3.48
4/21,True,n/a,2.08
4/23,True,n/a,2.41
4/24,False,n/a,2.65
4/25,True,n/a,5.4
4/26,True,n/a,2.77
4/27,True,n/a,5.82
4/28,False,n/a,4.73
4/30,True,n/a,3.42
5/1,True,n/a,inf
5/2,False,n/a,0.93
5/3,True,n/a,3.55
5/4,True,n/a,2.25
5/5,False,n/a,5.46
5/8,False,n/a,4.5
5/11,True,n/a,5.03
5/12,True,n/a,5.45
5/13,True,n/a,2.51
5/14,True,n/a,4.67
5/15,True,n/a,4.91
5/16,True,n/a,5.66
5/17,True,n/a,2.27
5/18,True,n/a,2.03
5/19,True,n/a,7.17
5/20,True,n/a,5.86
5/21,False,n/a,4.79
5/22,False,n/a,3.67
5/23,True,n/a,5.22
5/24,True,n/a,2.26
5/25,True,n/a,5.74
5/26,True,n/a,4.55
5/28,True,n/a,2.72
5/29,False,n/a,3.86
5/30,False,n/a,3.55
5/31,True,n/a,2.62
6/1,True,n/a,3.78
6/2,False,n/a,4.51
6/3,False,n/a,5.27
6/4,True,n/a,3.34
6/5,False,n/a,6.23
6/6,True,n/a,4.84
6/7,True,n/a,5.49
6/8,False,n/a,6.02
6/9,True,n/a,2.39
6/11,True,n/a,4.24
6/12,True,n/a,2.32
6/13,False,n/a,2.57
6/15,True,n/a,2.97
6/16,True,n/a,3.61
6/17,True,n/a,2.78
6/18,True,n/a,3.63
6/19,True,n/a,4.5
6/20,True,n/a,7.5
6/22,False,n/a,4.76
6/23,True,n/a,4.48
6/25,True,n/a,5.17
6/26,True,n/a,4.5
6/27,True,n/a,4.35
6/28,True,n/a,2.85
6/29,False,n/a,4.5
6/30,False,n/a,8.78
7/2,True,n/a,3.74
7/3,False,n/a,inf
7/4,True,n/a,4.25
7/5,True,n/a,6.75
7/6,False,n/a,3.34
7/7,True,n/a,3.35
7/8,False,n/a,4.86
7/9,True,n/a,4.83
7/10,True,n/a,4.28
7/18,True,n/a,6.39
7/19,True,n/a,4.87
7/20,True,n/a,4.95
7/21,True,n/a,3.76
7/23,False,n/a,2.92
7/24,False,n/a,2.84
7/26,True,n/a,4.68
7/27,False,n/a,3.18
7/30,True,n/a,2.92
7/31,False,n/a,4.09
8/1,True,n/a,2.71
8/3,True,n/a,4.15
8/4,False,n/a,inf
8/5,True,n/a,4.73
8/6,True,n/a,3.02
8/7,False,n/a,6.92
8/8,True,n/a,5.9
8/9,False,n/a,2.82
8/10,False,n/a,2.57
8/11,False,n/a,3.88
8/13,False,n/a,4.04
8/15,True,n/a,4.9
8/16,True,n/a,4.9
8/17,False,n/a,3.14
8/18,False,n/a,4.42
8/19,True,n/a,3.94
8/20,False,n/a,5.23
8/21,True,n/a,2.96
8/22,True,n/a,1.84
8/23,True,n/a,4.62
8/24,True,n/a,5.14
8/26,True,n/a,3.5
8/27,True,n/a,3.7
8/29,True,n/a,6.32
8/31,True,n/a,2.19
9/1,True,n/a,3.41
9/2,True,n/a,4.55
9/3,True,n/a,3.81
9/4,False,n/a,4.77
9/5,True,n/a,5.23
9/7,True,n/a,4.82
9/8,True,n/a,3.56
9/9,True,n/a,3.79
9/10,True,n/a,5.38
9/11,True,n/a,3.89
9/12,False,n/a,7.42
9/14,False,n/a,4.31
9/15,True,n/a,3.87
9/17,True,n/a,2.94
9/18,False,n/a,4.5
9/19,False,n/a,3.6
9/21,True,n/a,4.71
9/22,False,n/a,5.08
9/24,True,n/a,3.44
9/25,True,n/a,3.6
9/26,False,n/a,2.2
9/27,True,n/a,3.03
9/29,True,n/a,4.61
10/1,False,n/a,6.56
10/2,False,n/a,4.4
10/3,True,n/a,5.03
