date,hitVal,otherInfo,opPitcherEra
4/6,True,n/a,inf
4/11,True,n/a,3.86
4/12,True,n/a,1.13
4/13,True,n/a,0.0
4/15,False,n/a,4.09
7/6,True,n/a,4.5
7/7,True,n/a,4.88
7/8,True,n/a,1.98
7/9,False,n/a,5.51
7/16,True,n/a,3.71
7/17,True,n/a,4.86
7/18,True,n/a,3.44
7/19,True,n/a,4.69
7/20,True,n/a,4.05
7/22,False,n/a,3.48
7/23,False,n/a,1.68
7/24,True,n/a,5.15
7/25,True,n/a,4.94
7/26,False,n/a,4.71
7/27,False,n/a,3.52
7/29,True,n/a,5.52
7/30,False,n/a,9.0
7/31,True,n/a,4.01
8/1,True,n/a,4.83
8/3,True,n/a,6.47
8/4,True,n/a,3.65
8/5,True,n/a,2.64
8/6,False,n/a,3.4
8/7,True,n/a,3.54
8/8,True,n/a,4.05
8/9,True,n/a,1.29
8/10,True,n/a,5.4
8/11,True,n/a,2.79
8/12,True,n/a,1.56
8/13,True,n/a,4.91
8/14,False,n/a,3.98
8/15,False,n/a,1.29
8/16,True,n/a,3.86
8/17,False,n/a,4.96
8/18,True,n/a,3.31
8/19,True,n/a,3.28
8/21,True,n/a,2.99
8/22,True,n/a,3.71
8/24,True,n/a,3.97
8/25,True,n/a,3.87
8/26,True,n/a,1.35
8/27,False,n/a,5.49
8/28,False,n/a,6.34
8/29,False,n/a,3.19
8/31,True,n/a,6.5
9/1,True,n/a,3.12
9/2,True,n/a,4.2
9/3,False,n/a,3.53
9/4,True,n/a,4.73
9/5,False,n/a,4.29
9/6,True,n/a,5.2
9/7,False,n/a,3.02
9/8,False,n/a,2.9
9/10,False,n/a,3.89
9/11,True,n/a,3.52
9/12,True,n/a,3.53
9/14,True,n/a,5.07
9/15,True,n/a,inf
9/17,True,n/a,5.18
9/20,True,n/a,4.83
9/21,True,n/a,2.48
9/22,False,n/a,4.63
9/26,False,n/a,3.77
9/27,True,n/a,4.13
9/29,True,n/a,4.49
10/1,True,n/a,5.19
10/2,True,n/a,4.62
10/3,True,n/a,3.64
