date,hitVal,otherInfo
4/5,False,n/a
4/6,False,n/a
4/7,True,n/a
4/10,False,n/a
4/11,False,n/a
4/12,True,n/a
4/14,True,n/a
4/15,True,n/a
5/1,False,n/a
5/2,True,n/a
5/3,False,n/a
5/4,False,n/a
5/5,True,n/a
5/6,False,n/a
5/8,True,n/a
5/9,True,n/a
5/11,True,n/a
5/14,False,n/a
5/15,False,n/a
5/17,True,n/a
5/18,False,n/a
5/19,False,n/a
5/20,False,n/a
5/21,True,n/a
5/22,False,n/a
5/28,False,n/a
5/30,True,n/a
5/31,False,n/a
6/1,False,n/a
6/2,False,n/a
6/3,False,n/a
6/4,False,n/a
6/5,True,n/a
6/6,True,n/a
6/8,False,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,False,n/a
6/13,False,n/a
6/15,True,n/a
6/16,True,n/a
6/17,False,n/a
6/18,True,n/a
6/19,True,n/a
6/20,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,True,n/a
6/25,True,n/a
6/26,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,True,n/a
7/1,True,n/a
7/2,False,n/a
7/6,False,n/a
7/9,False,n/a
7/10,False,n/a
7/11,True,n/a
7/15,True,n/a
7/16,False,n/a
7/20,True,n/a
7/21,False,n/a
7/22,True,n/a
7/23,False,n/a
7/25,True,n/a
7/27,False,n/a
7/28,True,n/a
8/19,True,n/a
9/19,False,n/a
9/21,True,n/a
9/26,False,n/a
9/28,False,n/a
10/1,False,n/a
