date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/12,True,n/a,0.0
4/14,True,n/a,4.5
4/17,False,n/a,5.25
4/20,True,n/a,13.5
4/24,True,n/a,4.41
4/26,True,n/a,4.24
4/27,False,n/a,1.29
4/28,True,n/a,4.81
5/1,True,n/a,7.2
5/3,False,n/a,5.72
5/26,True,n/a,3.08
5/29,False,n/a,2.35
5/30,False,n/a,3.23
6/3,True,n/a,5.54
6/4,False,n/a,2.71
6/8,True,n/a,6.64
6/9,False,n/a,4.94
6/10,False,n/a,3.6
6/12,False,n/a,3.81
6/15,True,n/a,5.0
6/17,True,n/a,4.34
6/18,False,n/a,1.8
6/24,True,n/a,3.13
6/28,True,n/a,3.11
7/3,True,n/a,2.8
7/4,False,n/a,2.45
7/9,False,n/a,3.32
7/17,True,n/a,3.99
7/18,True,n/a,inf
7/20,False,n/a,2.39
7/22,True,n/a,3.5
7/24,False,n/a,3.37
7/25,True,n/a,3.99
7/26,False,n/a,4.36
7/27,True,n/a,4.9
7/28,True,n/a,2.95
7/29,True,n/a,2.9
7/30,True,n/a,2.92
8/1,True,n/a,2.71
8/3,False,n/a,4.15
8/6,True,n/a,3.02
8/7,False,n/a,6.92
8/8,True,n/a,5.9
8/9,True,n/a,2.82
8/10,False,n/a,2.57
8/11,True,n/a,3.88
8/13,True,n/a,4.04
8/14,True,n/a,1.38
8/15,True,n/a,4.9
8/16,True,n/a,4.9
8/17,False,n/a,3.14
8/18,True,n/a,4.42
8/19,True,n/a,3.94
8/21,True,n/a,2.96
8/23,True,n/a,4.62
8/24,True,n/a,5.14
8/25,True,n/a,6.52
8/26,True,n/a,3.5
8/28,True,n/a,4.39
8/29,True,n/a,6.32
8/31,False,n/a,2.19
9/3,True,n/a,3.81
9/4,True,n/a,4.77
9/8,True,n/a,3.56
9/9,True,n/a,3.79
9/10,True,n/a,5.38
9/11,True,n/a,3.89
9/12,True,n/a,7.42
9/14,False,n/a,4.31
9/15,True,n/a,3.87
9/17,True,n/a,2.94
9/18,True,n/a,4.5
9/19,True,n/a,3.6
9/20,False,n/a,3.9
9/21,True,n/a,4.71
9/22,True,n/a,5.08
9/24,True,n/a,3.44
9/26,True,n/a,2.2
9/27,True,n/a,3.03
9/29,True,n/a,4.61
10/1,False,n/a,6.56
10/2,True,n/a,4.4
10/3,True,n/a,5.03
