date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,7.73
4/11,True,n/a,4.05
4/12,False,n/a,2.7
4/13,False,n/a,1.29
4/15,True,n/a,0.0
4/16,True,n/a,7.2
4/17,True,n/a,7.45
4/18,True,n/a,3.21
4/20,False,n/a,2.46
4/21,False,n/a,4.09
4/22,True,n/a,4.5
4/23,True,n/a,4.5
4/24,True,n/a,1.42
4/25,False,n/a,3.93
4/27,True,n/a,1.37
4/28,True,n/a,4.59
4/29,True,n/a,5.4
4/30,True,n/a,1.29
5/2,False,n/a,2.0
5/3,True,n/a,10.13
5/4,False,n/a,6.11
5/5,False,n/a,3.48
5/6,True,n/a,4.77
5/7,True,n/a,3.12
5/8,True,n/a,2.61
5/9,False,n/a,3.0
5/11,True,n/a,3.93
5/12,True,n/a,3.43
5/14,False,n/a,8.24
5/15,True,n/a,5.65
5/16,True,n/a,5.18
5/18,False,n/a,6.08
5/19,False,n/a,4.96
5/20,True,n/a,4.25
5/21,True,n/a,3.59
5/22,False,n/a,4.29
5/23,True,n/a,2.68
5/25,True,n/a,3.88
5/26,True,n/a,4.56
5/27,False,n/a,2.54
5/28,True,n/a,2.41
5/29,True,n/a,4.01
5/30,True,n/a,2.99
6/1,True,n/a,5.15
6/2,False,n/a,5.84
6/3,True,n/a,3.41
6/4,True,n/a,5.87
6/5,True,n/a,3.78
6/6,True,n/a,4.36
6/8,True,n/a,2.57
6/9,True,n/a,5.26
6/10,True,n/a,6.67
6/11,True,n/a,4.86
6/12,True,n/a,2.93
6/13,False,n/a,3.28
6/15,True,n/a,7.5
6/16,True,n/a,5.3
6/17,True,n/a,4.95
6/18,False,n/a,2.19
6/19,False,n/a,4.19
6/20,True,n/a,5.45
6/22,True,n/a,3.38
6/23,False,n/a,2.34
6/24,True,n/a,4.77
6/25,False,n/a,5.11
6/26,True,n/a,3.01
6/27,True,n/a,3.56
6/28,False,n/a,4.77
6/29,True,n/a,5.3
7/2,True,n/a,3.28
7/3,True,n/a,2.15
7/4,True,n/a,5.48
7/5,True,n/a,5.67
7/6,False,n/a,2.79
7/7,True,n/a,4.59
7/8,False,n/a,3.95
7/9,False,n/a,3.52
7/10,True,n/a,5.44
7/15,True,n/a,4.64
7/16,True,n/a,3.86
7/17,False,n/a,3.58
7/18,True,n/a,6.41
7/19,True,n/a,1.0
7/20,True,n/a,3.5
7/21,False,n/a,2.9
7/23,False,n/a,3.19
7/24,False,n/a,3.5
7/25,True,n/a,3.74
7/26,True,n/a,2.75
7/27,True,n/a,6.27
7/28,True,n/a,2.94
7/29,True,n/a,2.18
7/30,True,n/a,2.35
7/31,True,n/a,3.77
8/1,True,n/a,3.64
8/3,True,n/a,5.5
8/4,False,n/a,4.28
8/5,False,n/a,4.28
8/6,True,n/a,6.64
8/7,True,n/a,6.05
8/8,True,n/a,4.21
8/9,True,n/a,5.27
8/10,True,n/a,4.7
8/11,True,n/a,inf
8/12,True,n/a,3.33
8/13,True,n/a,4.97
8/14,True,n/a,5.74
8/15,True,n/a,4.49
8/17,True,n/a,4.76
8/18,True,n/a,3.26
8/19,True,n/a,3.27
8/21,True,n/a,0.0
8/22,False,n/a,3.9
8/24,True,n/a,3.97
8/25,False,n/a,4.97
8/26,True,n/a,4.9
8/27,False,n/a,4.85
8/28,True,n/a,3.02
8/29,False,n/a,2.16
8/30,True,n/a,4.45
8/31,False,n/a,5.23
9/1,True,n/a,inf
9/4,True,n/a,2.21
9/5,True,n/a,6.21
9/7,True,n/a,3.61
9/8,False,n/a,5.25
9/9,False,n/a,5.2
9/10,False,n/a,4.9
9/11,True,n/a,5.09
9/12,True,n/a,6.9
9/14,True,n/a,3.24
9/15,True,n/a,2.02
9/16,True,n/a,3.47
9/17,False,n/a,3.6
9/18,False,n/a,3.48
9/19,True,n/a,5.05
9/20,False,n/a,3.47
9/21,True,n/a,2.84
9/22,True,n/a,2.83
9/24,True,n/a,4.13
9/25,True,n/a,5.85
9/26,True,n/a,2.98
9/27,True,n/a,2.39
9/28,True,n/a,4.52
9/29,True,n/a,5.77
9/30,False,n/a,2.96
10/3,True,n/a,2.16
