date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,5.4
4/11,False,n/a,inf
4/12,True,n/a,9.0
4/14,False,n/a,4.77
4/15,True,n/a,inf
4/16,True,n/a,7.2
4/17,True,n/a,3.75
4/18,True,n/a,6.1
4/19,False,n/a,6.55
4/20,False,n/a,1.29
4/21,False,n/a,3.75
4/24,True,n/a,11.26
4/25,True,n/a,2.41
4/26,True,n/a,5.82
4/27,True,n/a,0.75
4/28,True,n/a,1.5
4/29,True,n/a,4.43
4/30,False,n/a,4.88
5/1,True,n/a,4.5
5/4,False,n/a,4.26
5/5,True,n/a,12.57
5/6,False,n/a,6.0
5/7,True,n/a,6.04
5/8,True,n/a,6.68
5/9,True,n/a,2.94
5/10,True,n/a,4.86
5/11,False,n/a,4.08
5/14,True,n/a,3.91
5/15,True,n/a,4.61
5/16,False,n/a,3.0
5/17,True,n/a,5.8
5/18,False,n/a,2.66
5/19,False,n/a,4.57
5/22,False,n/a,2.38
5/28,True,n/a,3.09
5/30,True,n/a,2.38
5/31,False,n/a,5.11
6/4,False,n/a,4.4
6/5,True,n/a,2.78
6/6,False,n/a,3.04
6/25,False,n/a,5.07
6/26,True,n/a,4.85
6/27,True,n/a,3.23
6/28,True,n/a,4.24
6/29,True,n/a,4.6
6/30,True,n/a,6.0
7/1,True,n/a,0.0
7/2,False,n/a,4.49
7/5,True,n/a,3.77
7/6,True,n/a,1.8
7/7,True,n/a,4.74
7/8,True,n/a,3.02
7/9,True,n/a,4.06
7/10,True,n/a,4.07
7/11,False,n/a,4.72
7/15,True,n/a,4.51
7/16,True,n/a,6.41
7/17,False,n/a,3.78
7/18,False,n/a,2.19
7/19,True,n/a,4.97
7/20,True,n/a,5.59
7/21,True,n/a,3.35
7/23,True,n/a,4.89
7/24,True,n/a,4.86
7/25,True,n/a,3.05
7/26,True,n/a,4.4
7/27,False,n/a,3.24
7/28,False,n/a,6.08
7/30,False,n/a,4.56
7/31,True,n/a,4.34
8/2,False,n/a,2.77
8/3,True,n/a,5.91
8/6,True,n/a,4.01
8/7,True,n/a,6.36
8/8,True,n/a,2.3
8/9,False,n/a,3.2
8/10,True,n/a,3.15
8/14,True,n/a,2.89
8/15,True,n/a,5.89
8/16,False,n/a,4.86
8/17,True,n/a,3.41
8/18,False,n/a,3.8
8/19,True,n/a,2.32
8/20,True,n/a,3.92
8/21,True,n/a,3.41
8/22,True,n/a,3.75
8/23,True,n/a,3.06
8/24,False,n/a,5.13
8/25,True,n/a,11.39
8/27,False,n/a,3.62
8/28,False,n/a,3.82
8/29,True,n/a,3.25
8/30,True,n/a,4.83
8/31,False,n/a,4.98
9/3,False,n/a,2.57
9/4,True,n/a,3.26
9/5,True,n/a,3.7
9/13,True,n/a,2.69
9/14,True,n/a,2.38
9/15,True,n/a,3.09
9/17,False,n/a,3.95
9/18,True,n/a,3.35
9/21,False,n/a,3.08
9/22,False,n/a,3.21
9/23,True,n/a,3.27
9/24,True,n/a,2.45
9/25,True,n/a,3.28
9/27,False,n/a,1.95
9/28,True,n/a,2.91
9/29,True,n/a,1.2
9/30,True,n/a,3.58
10/2,True,n/a,2.8
10/3,False,n/a,3.54
