date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,14.55
4/11,False,n/a,inf
4/12,True,n/a,3.0
4/13,True,n/a,1.13
4/14,False,n/a,5.4
4/15,True,n/a,4.5
4/16,True,n/a,0.56
4/17,True,n/a,7.5
4/18,False,n/a,5.07
4/20,True,n/a,3.46
4/21,False,n/a,3.52
4/22,True,n/a,7.36
4/24,True,n/a,4.67
4/25,False,n/a,4.0
4/26,True,n/a,3.57
4/27,True,n/a,2.86
4/30,True,n/a,6.14
5/1,True,n/a,6.75
5/2,True,n/a,5.53
5/4,True,n/a,1.27
5/5,False,n/a,1.53
5/6,True,n/a,2.84
5/7,False,n/a,6.75
5/8,True,n/a,inf
5/9,True,n/a,0.99
5/10,False,n/a,5.29
5/11,False,n/a,4.86
5/12,True,n/a,3.5
5/13,False,n/a,4.54
5/14,True,n/a,4.5
5/15,True,n/a,5.45
5/16,False,n/a,4.58
5/17,False,n/a,7.44
5/19,True,n/a,1.42
5/20,True,n/a,2.48
5/21,False,n/a,5.26
5/22,True,n/a,7.0
5/23,True,n/a,4.5
5/25,True,n/a,4.99
5/26,True,n/a,4.18
5/27,True,n/a,2.09
5/28,False,n/a,5.66
5/29,False,n/a,2.22
5/30,True,n/a,4.55
5/31,True,n/a,5.53
6/1,True,n/a,5.05
6/2,True,n/a,2.78
6/3,True,n/a,inf
6/4,True,n/a,2.84
6/5,False,n/a,4.79
6/6,False,n/a,3.22
6/8,True,n/a,4.62
6/10,False,n/a,2.03
6/11,False,n/a,3.64
6/12,True,n/a,3.31
6/13,True,n/a,2.48
6/15,True,n/a,3.52
6/16,False,n/a,1.8
6/17,False,n/a,4.61
6/18,True,n/a,3.5
6/19,True,n/a,2.83
6/22,True,n/a,3.97
6/23,True,n/a,4.67
6/24,True,n/a,5.12
6/25,True,n/a,2.93
6/26,False,n/a,3.26
6/27,True,n/a,2.93
6/28,True,n/a,2.33
6/29,True,n/a,3.78
6/30,True,n/a,2.71
7/2,True,n/a,3.15
7/3,False,n/a,4.5
7/4,True,n/a,2.37
7/5,True,n/a,3.62
7/6,True,n/a,5.05
7/7,True,n/a,3.78
7/8,False,n/a,4.43
7/9,True,n/a,4.38
7/10,True,n/a,4.16
7/11,True,n/a,3.38
7/16,True,n/a,2.32
7/17,False,n/a,3.37
7/18,True,n/a,5.8
7/19,True,n/a,2.2
7/20,False,n/a,5.14
7/21,True,n/a,4.07
7/23,False,n/a,4.39
7/24,True,n/a,3.32
7/25,True,n/a,4.25
7/26,False,n/a,3.45
7/27,False,n/a,3.1
7/28,True,n/a,3.35
7/29,False,n/a,2.43
7/30,False,n/a,3.35
7/31,True,n/a,5.09
8/1,True,n/a,3.56
8/3,False,n/a,2.21
8/4,True,n/a,4.44
8/5,False,n/a,4.5
8/6,True,n/a,2.19
8/7,True,n/a,3.0
8/10,True,n/a,2.32
8/11,True,n/a,4.12
8/12,True,n/a,3.03
8/13,True,n/a,4.95
8/14,True,n/a,3.75
8/15,False,n/a,5.51
8/16,False,n/a,3.38
8/17,True,n/a,5.2
8/18,False,n/a,3.95
8/20,True,n/a,3.7
8/21,True,n/a,4.04
8/22,False,n/a,2.76
8/24,True,n/a,2.41
8/25,True,n/a,3.0
8/26,True,n/a,3.33
8/27,True,n/a,3.53
8/28,True,n/a,2.28
8/29,True,n/a,4.33
8/30,True,n/a,8.79
8/31,True,n/a,11.25
9/1,True,n/a,4.91
9/3,True,n/a,4.75
9/4,True,n/a,4.38
9/5,True,n/a,3.91
9/6,True,n/a,0.0
9/7,False,n/a,5.25
9/10,True,n/a,4.73
9/11,True,n/a,7.14
9/12,True,n/a,3.86
9/13,True,n/a,5.15
9/14,True,n/a,3.06
9/15,True,n/a,2.44
9/21,True,n/a,3.84
