date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,3.86
4/12,False,n/a,4.5
4/14,False,n/a,6.0
4/15,False,n/a,10.15
4/17,False,n/a,4.91
4/18,True,n/a,13.5
4/19,True,n/a,4.09
4/20,True,n/a,3.6
4/21,True,n/a,3.5
4/23,True,n/a,0.9
4/25,True,n/a,3.86
4/26,True,n/a,2.89
4/27,False,n/a,5.24
4/28,True,n/a,4.76
4/29,True,n/a,5.48
4/30,False,n/a,5.73
5/1,False,n/a,7.06
5/2,False,n/a,7.16
5/3,True,n/a,inf
5/5,True,n/a,7.61
5/6,False,n/a,1.47
5/7,True,n/a,6.09
5/8,True,n/a,6.17
5/11,False,n/a,3.6
5/13,False,n/a,7.52
5/14,True,n/a,6.03
5/15,True,n/a,3.1
5/16,False,n/a,5.36
5/17,True,n/a,5.84
5/18,True,n/a,6.51
5/19,True,n/a,3.83
5/21,True,n/a,3.71
5/22,False,n/a,6.51
5/23,False,n/a,3.4
5/25,False,n/a,2.38
5/26,True,n/a,4.57
5/28,True,n/a,4.0
5/29,False,n/a,3.52
5/31,True,n/a,4.3
6/1,True,n/a,3.25
6/2,False,n/a,3.0
6/4,True,n/a,4.46
6/5,True,n/a,5.82
6/6,True,n/a,4.07
6/11,False,n/a,4.27
6/12,True,n/a,4.83
6/13,True,n/a,5.38
6/14,True,n/a,6.36
6/15,True,n/a,6.62
6/16,False,n/a,3.05
6/18,False,n/a,4.81
6/19,False,n/a,4.93
6/20,False,n/a,3.23
6/23,True,n/a,3.08
6/24,False,n/a,4.97
6/25,True,n/a,3.94
6/26,True,n/a,6.15
6/27,True,n/a,3.97
6/28,False,n/a,4.65
6/30,True,n/a,inf
7/1,True,n/a,4.92
7/2,True,n/a,5.17
7/4,True,n/a,2.56
7/6,True,n/a,4.67
7/7,True,n/a,4.66
7/8,True,n/a,2.27
7/9,True,n/a,5.98
7/15,True,n/a,2.97
7/16,True,n/a,4.14
7/17,False,n/a,3.87
7/19,False,n/a,4.44
7/21,False,n/a,6.21
7/22,False,n/a,3.63
7/23,False,n/a,4.33
7/28,True,n/a,2.79
7/30,False,n/a,4.72
7/31,True,n/a,8.58
8/1,True,n/a,5.09
8/2,True,n/a,3.1
8/3,True,n/a,5.63
8/4,False,n/a,0.0
8/6,True,n/a,4.28
8/7,False,n/a,1.96
8/9,True,n/a,3.43
8/10,True,n/a,3.24
8/11,True,n/a,3.83
8/13,False,n/a,8.0
8/14,False,n/a,5.46
8/15,False,n/a,3.66
8/30,False,n/a,3.68
8/31,False,n/a,3.87
9/1,True,n/a,2.15
9/3,False,n/a,3.82
9/5,True,n/a,4.92
9/6,False,n/a,3.86
9/7,True,n/a,5.34
9/8,True,n/a,4.63
9/9,True,n/a,4.1
9/10,False,n/a,5.33
9/11,False,n/a,3.58
9/12,True,n/a,2.41
9/13,False,n/a,18.92
9/14,True,n/a,4.61
9/15,True,n/a,3.88
9/16,False,n/a,1.54
9/17,True,n/a,2.43
9/18,True,n/a,0.0
9/19,True,n/a,3.49
9/20,True,n/a,5.11
9/21,False,n/a,5.36
9/22,True,n/a,8.61
9/24,False,n/a,3.9
9/25,True,n/a,5.02
9/26,True,n/a,6.0
9/27,True,n/a,8.12
9/28,True,n/a,5.3
9/29,False,n/a,3.72
9/30,True,n/a,4.64
10/2,False,n/a,2.99
10/3,True,n/a,6.22
