date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,7.5
4/12,False,n/a,inf
4/13,True,n/a,6.0
4/14,True,n/a,21.62
4/16,False,n/a,11.43
4/17,True,n/a,3.86
4/18,False,n/a,4.5
4/19,True,n/a,4.38
4/20,False,n/a,5.91
4/24,True,n/a,1.5
4/25,False,n/a,1.29
4/26,True,n/a,0.82
4/27,True,n/a,5.0
4/28,True,n/a,5.11
4/30,False,n/a,5.02
5/6,False,n/a,4.01
5/22,True,n/a,4.05
5/23,True,n/a,5.66
5/25,True,n/a,1.62
6/19,True,n/a,27.04
6/20,True,n/a,3.31
6/22,False,n/a,3.12
6/23,True,n/a,3.34
6/24,True,n/a,6.09
6/26,False,n/a,2.47
6/27,True,n/a,3.03
6/28,False,n/a,4.34
6/29,True,n/a,3.86
7/1,False,n/a,4.69
7/4,False,n/a,4.33
7/6,False,n/a,4.7
7/7,True,n/a,5.29
7/8,True,n/a,4.46
7/9,False,n/a,2.45
7/16,True,n/a,3.61
7/17,False,n/a,4.16
7/20,False,n/a,3.16
7/23,True,n/a,4.96
7/24,True,n/a,4.02
7/25,True,n/a,2.66
7/26,False,n/a,4.5
7/27,True,n/a,1.61
7/28,True,n/a,2.11
7/29,False,n/a,3.59
7/31,False,n/a,4.0
8/1,True,n/a,2.96
8/3,False,n/a,5.08
8/4,False,n/a,2.67
8/9,True,n/a,5.62
8/10,True,n/a,3.76
9/4,True,n/a,3.49
9/6,True,n/a,4.2
9/7,True,n/a,2.45
9/10,True,n/a,3.43
9/11,False,n/a,1.72
9/16,True,n/a,3.48
9/17,False,n/a,4.53
10/1,False,n/a,3.71
