date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,3.6
4/11,True,n/a,1.29
4/13,True,n/a,1.5
4/14,False,n/a,12.72
4/16,True,n/a,3.46
4/17,True,n/a,5.69
4/18,True,n/a,1.8
4/19,False,n/a,4.91
4/20,True,n/a,4.09
4/21,False,n/a,9.0
4/23,True,n/a,2.37
4/24,False,n/a,1.35
4/25,False,n/a,8.27
4/26,True,n/a,3.0
4/27,True,n/a,2.25
4/28,False,n/a,5.82
4/30,True,n/a,7.92
5/1,True,n/a,6.97
5/3,True,n/a,2.19
5/4,False,n/a,4.71
5/6,True,n/a,11.59
5/7,True,n/a,3.1
5/8,True,n/a,1.29
5/9,True,n/a,3.7
5/10,False,n/a,2.09
5/12,True,n/a,1.91
5/14,True,n/a,3.33
5/15,True,n/a,3.32
5/17,True,n/a,0.0
5/18,True,n/a,1.48
5/19,True,n/a,2.25
5/20,True,n/a,5.37
5/21,True,n/a,2.73
5/23,False,n/a,2.8
5/24,False,n/a,4.98
5/25,False,n/a,2.71
5/28,False,n/a,3.44
5/30,False,n/a,4.32
5/31,True,n/a,4.95
6/1,True,n/a,4.7
6/2,True,n/a,4.92
6/4,True,n/a,4.58
6/5,True,n/a,7.25
6/6,True,n/a,2.92
6/7,False,n/a,5.01
6/8,True,n/a,6.08
6/9,True,n/a,3.77
6/10,True,n/a,3.21
6/12,True,n/a,3.0
6/14,True,n/a,5.31
6/15,True,n/a,5.06
6/16,True,n/a,5.46
6/19,True,n/a,2.9
6/22,True,n/a,2.97
6/23,True,n/a,4.15
6/25,True,n/a,3.43
6/26,True,n/a,4.82
6/27,True,n/a,3.56
6/29,False,n/a,5.32
7/6,True,n/a,4.7
7/7,False,n/a,4.65
7/8,False,n/a,3.58
7/9,True,n/a,3.81
7/10,True,n/a,4.89
7/15,True,n/a,3.1
7/16,True,n/a,2.88
7/17,True,n/a,5.9
7/18,False,n/a,3.09
7/20,True,n/a,3.65
7/21,True,n/a,4.45
7/22,False,n/a,2.65
7/23,True,n/a,3.23
7/25,True,n/a,2.09
7/26,True,n/a,2.81
7/27,True,n/a,4.36
7/30,True,n/a,2.31
7/31,False,n/a,5.68
8/1,True,n/a,2.1
8/4,True,n/a,5.47
8/7,True,n/a,4.84
8/8,True,n/a,5.91
8/9,False,n/a,6.06
8/10,False,n/a,5.15
8/13,True,n/a,7.16
8/15,False,n/a,3.53
8/20,True,n/a,2.01
8/23,True,n/a,4.82
8/24,False,n/a,4.45
8/27,False,n/a,5.84
8/29,False,n/a,4.13
8/30,False,n/a,4.02
9/1,False,n/a,3.53
9/3,True,n/a,3.23
9/4,False,n/a,2.82
9/7,False,n/a,5.04
9/12,True,n/a,3.72
9/15,True,n/a,3.07
9/18,True,n/a,2.75
9/19,False,n/a,4.32
9/20,False,n/a,4.12
9/22,True,n/a,3.21
9/25,True,n/a,3.8
9/27,True,n/a,2.73
9/29,False,n/a,3.71
10/1,True,n/a,3.81
10/2,False,n/a,3.35
