date,hitVal,otherInfo
4/5,True,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/10,False,n/a
4/11,True,n/a
4/12,False,n/a
5/17,True,n/a
5/18,False,n/a
5/19,True,n/a
5/20,True,n/a
5/21,True,n/a
6/22,False,n/a
6/23,True,n/a
6/25,False,n/a
6/26,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,False,n/a
7/1,True,n/a
7/2,False,n/a
7/3,True,n/a
7/4,False,n/a
7/5,False,n/a
7/6,False,n/a
7/7,True,n/a
7/8,False,n/a
7/9,True,n/a
7/10,True,n/a
7/11,True,n/a
7/15,False,n/a
7/16,False,n/a
7/17,False,n/a
7/18,True,n/a
7/19,True,n/a
7/20,False,n/a
7/21,True,n/a
7/22,True,n/a
7/23,True,n/a
7/24,True,n/a
7/25,True,n/a
7/26,False,n/a
7/30,False,n/a
7/31,True,n/a
8/1,False,n/a
8/3,True,n/a
8/4,True,n/a
8/5,True,n/a
8/6,True,n/a
8/7,True,n/a
8/8,True,n/a
8/10,True,n/a
8/11,True,n/a
8/12,False,n/a
8/13,False,n/a
8/14,True,n/a
8/15,True,n/a
8/17,True,n/a
8/18,True,n/a
8/19,False,n/a
8/20,False,n/a
8/21,True,n/a
8/22,True,n/a
8/23,True,n/a
8/24,True,n/a
8/25,False,n/a
8/26,False,n/a
8/27,True,n/a
8/28,True,n/a
8/29,True,n/a
8/30,False,n/a
8/31,False,n/a
9/1,True,n/a
9/2,True,n/a
9/3,False,n/a
9/4,False,n/a
9/5,True,n/a
9/6,False,n/a
9/7,True,n/a
9/8,True,n/a
9/28,True,n/a
9/29,False,n/a
10/1,True,n/a
10/2,True,n/a
