date,hitVal,otherInfo,opPitcherEra
4/9,True,n/a,inf
4/16,True,n/a,5.14
4/24,True,n/a,4.32
4/28,False,n/a,1.42
5/1,True,n/a,3.65
5/6,True,n/a,4.36
5/7,False,n/a,5.7
5/16,False,n/a,4.23
5/23,True,n/a,5.08
5/27,True,n/a,4.5
5/28,True,n/a,4.47
5/29,True,n/a,5.4
5/30,False,n/a,3.98
6/4,True,n/a,2.95
6/10,True,n/a,0.0
6/11,False,n/a,3.1
6/20,False,n/a,6.02
6/23,True,n/a,4.72
7/6,True,n/a,4.07
7/17,False,n/a,6.03
7/22,True,n/a,3.53
7/29,True,n/a,3.77
8/2,True,n/a,3.11
8/8,True,n/a,3.38
8/11,True,n/a,4.34
8/17,False,n/a,5.12
8/21,True,n/a,3.85
8/24,False,n/a,4.74
8/31,True,n/a,3.63
9/3,True,n/a,4.5
9/6,False,n/a,6.31
9/15,False,n/a,4.69
9/29,True,n/a,8.19
