date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,7.5
4/11,True,n/a,inf
4/12,True,n/a,inf
4/13,True,n/a,6.0
4/14,True,n/a,21.62
4/16,False,n/a,11.43
5/2,True,n/a,0.0
5/4,True,n/a,4.32
5/5,True,n/a,5.18
5/6,True,n/a,4.01
5/7,True,n/a,2.4
5/8,True,n/a,4.5
5/9,True,n/a,4.05
5/11,False,n/a,1.16
5/12,False,n/a,3.34
5/13,False,n/a,4.2
5/14,False,n/a,4.67
5/15,True,n/a,2.63
5/16,True,n/a,3.52
5/17,False,n/a,3.22
5/18,True,n/a,3.32
5/19,True,n/a,3.58
5/20,True,n/a,3.81
5/21,False,n/a,4.37
5/22,False,n/a,4.05
5/23,False,n/a,5.66
5/25,False,n/a,1.62
5/26,True,n/a,5.06
5/27,False,n/a,5.96
5/28,False,n/a,6.28
5/29,True,n/a,9.0
5/31,False,n/a,0.88
6/1,True,n/a,6.93
6/2,True,n/a,2.89
6/4,False,n/a,5.09
6/6,True,n/a,4.26
6/7,True,n/a,4.09
6/10,True,n/a,2.22
6/11,False,n/a,3.58
6/16,True,n/a,3.83
6/18,False,n/a,5.14
6/20,True,n/a,3.31
6/24,True,n/a,6.09
6/25,False,n/a,5.33
6/26,False,n/a,2.47
6/30,True,n/a,5.83
7/1,True,n/a,4.69
7/3,True,n/a,1.83
7/4,True,n/a,4.33
7/6,True,n/a,4.7
7/10,True,n/a,5.73
7/11,True,n/a,3.12
7/15,True,n/a,2.77
7/16,False,n/a,3.61
7/20,False,n/a,3.16
7/22,True,n/a,4.62
7/24,True,n/a,4.02
7/27,True,n/a,1.61
7/28,True,n/a,2.11
7/29,False,n/a,3.59
8/1,True,n/a,2.96
8/5,False,n/a,4.62
8/7,False,n/a,2.36
8/11,True,n/a,3.51
8/12,True,n/a,4.37
8/13,True,n/a,3.83
8/19,False,n/a,3.33
8/22,False,n/a,2.58
9/4,True,n/a,3.49
9/12,False,n/a,2.21
9/14,False,n/a,3.0
9/16,False,n/a,3.48
