date,hitVal,otherInfo,opPitcherEra
4/21,False,n/a,9.58
4/28,True,n/a,3.98
4/29,True,n/a,8.35
5/2,False,n/a,3.34
5/11,True,n/a,1.49
5/13,False,n/a,3.0
5/15,False,n/a,3.96
5/18,True,n/a,2.66
5/20,True,n/a,3.55
5/21,True,n/a,2.08
5/22,True,n/a,4.77
5/23,False,n/a,3.95
5/26,True,n/a,1.28
5/28,True,n/a,5.55
5/31,True,n/a,2.13
6/2,True,n/a,3.03
6/5,False,n/a,4.26
6/7,False,n/a,4.2
6/10,False,n/a,4.28
6/22,False,n/a,4.95
6/24,True,n/a,4.16
6/30,True,n/a,3.53
7/3,True,n/a,6.84
7/23,True,n/a,4.03
9/11,False,n/a,3.44
9/22,True,n/a,4.13
9/25,True,n/a,3.34
