date,hitVal,otherInfo
4/7,True,n/a
4/11,True,n/a
4/12,False,n/a
4/18,False,n/a
4/21,True,n/a
4/23,True,n/a
4/25,True,n/a
4/26,True,n/a
4/27,False,n/a
4/28,True,n/a
5/2,True,n/a
5/3,False,n/a
5/5,False,n/a
5/8,True,n/a
5/9,True,n/a
5/12,False,n/a
5/14,False,n/a
5/15,False,n/a
5/16,True,n/a
5/18,False,n/a
5/20,True,n/a
5/21,False,n/a
5/22,True,n/a
5/23,True,n/a
5/25,True,n/a
5/30,False,n/a
5/31,True,n/a
6/1,False,n/a
6/2,False,n/a
6/5,True,n/a
6/6,True,n/a
6/8,True,n/a
6/11,True,n/a
6/13,False,n/a
6/16,False,n/a
6/17,True,n/a
6/19,True,n/a
6/20,True,n/a
6/23,False,n/a
6/25,True,n/a
6/26,True,n/a
6/27,True,n/a
6/28,True,n/a
6/29,True,n/a
7/2,True,n/a
7/5,True,n/a
7/6,False,n/a
7/10,True,n/a
7/11,True,n/a
7/16,False,n/a
7/17,True,n/a
7/19,True,n/a
7/21,True,n/a
7/22,True,n/a
7/25,True,n/a
7/27,True,n/a
7/29,True,n/a
7/31,True,n/a
8/1,False,n/a
8/3,True,n/a
8/7,True,n/a
8/9,True,n/a
8/14,True,n/a
8/15,True,n/a
8/17,True,n/a
8/18,True,n/a
8/25,True,n/a
8/26,True,n/a
8/28,False,n/a
9/1,False,n/a
9/2,True,n/a
9/6,False,n/a
9/11,False,n/a
9/14,False,n/a
9/20,True,n/a
9/25,True,n/a
9/26,True,n/a
10/1,False,n/a
10/2,False,n/a
