date,hitVal,otherInfo,opPitcherEra
4/17,True,n/a,3.86
4/18,True,n/a,4.5
4/19,True,n/a,4.38
4/20,True,n/a,5.91
4/21,False,n/a,3.6
4/23,True,n/a,0.69
4/24,True,n/a,1.5
4/25,True,n/a,1.29
4/26,False,n/a,0.82
4/27,True,n/a,5.0
4/28,True,n/a,5.11
4/30,True,n/a,5.02
5/1,True,n/a,2.25
5/2,False,n/a,0.0
5/4,True,n/a,4.32
5/6,True,n/a,4.01
5/7,False,n/a,2.4
5/9,True,n/a,4.05
5/11,True,n/a,1.16
5/12,True,n/a,3.34
5/13,False,n/a,4.2
5/14,True,n/a,4.67
5/15,False,n/a,2.63
5/16,False,n/a,3.52
5/17,False,n/a,3.22
5/18,True,n/a,3.32
5/19,False,n/a,3.58
5/26,False,n/a,5.06
5/28,False,n/a,6.28
5/30,False,n/a,3.41
6/16,False,n/a,3.83
6/27,False,n/a,3.03
7/1,True,n/a,4.69
7/10,True,n/a,5.73
7/11,False,n/a,3.12
7/15,False,n/a,2.77
7/19,True,n/a,inf
7/21,True,n/a,4.61
7/22,False,n/a,4.62
7/23,True,n/a,4.96
9/15,False,n/a,3.65
