date,hitVal,otherInfo,opPitcherEra
4/7,False,n/a,inf
4/8,False,n/a,inf
4/10,True,n/a,8.44
6/4,True,n/a,3.48
6/6,False,n/a,5.34
6/8,False,n/a,4.63
6/9,True,n/a,2.77
6/13,False,n/a,4.48
6/18,True,n/a,4.57
6/24,True,n/a,2.88
6/26,False,n/a,3.6
6/30,True,n/a,4.5
7/2,False,n/a,4.97
7/3,False,n/a,3.47
7/4,True,n/a,6.03
7/7,False,n/a,4.96
7/10,False,n/a,5.18
7/16,True,n/a,3.09
7/18,False,n/a,2.7
7/21,True,n/a,6.38
7/24,True,n/a,3.89
7/26,False,n/a,4.43
7/29,True,n/a,5.55
7/31,False,n/a,4.54
8/1,True,n/a,3.15
8/3,False,n/a,1.84
8/5,False,n/a,4.44
8/6,False,n/a,3.77
8/11,True,n/a,3.81
8/14,True,n/a,5.09
8/16,False,n/a,2.57
8/18,True,n/a,4.19
8/21,True,n/a,2.89
8/22,True,n/a,3.44
8/23,False,n/a,6.4
8/27,False,n/a,3.26
8/30,False,n/a,3.8
8/31,True,n/a,3.55
9/6,False,n/a,3.27
9/10,False,n/a,3.77
9/11,True,n/a,3.51
9/13,True,n/a,3.14
9/19,True,n/a,6.0
9/23,False,n/a,3.05
9/24,True,n/a,3.75
9/26,True,n/a,4.23
9/27,True,n/a,4.59
10/1,False,n/a,4.46
