date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,True,n/a,inf
4/10,False,n/a,5.4
4/11,False,n/a,inf
4/12,True,n/a,9.0
4/14,True,n/a,4.77
4/15,True,n/a,inf
4/17,True,n/a,3.75
4/18,True,n/a,6.1
4/19,False,n/a,6.55
4/21,True,n/a,3.75
4/22,True,n/a,3.0
4/24,True,n/a,11.26
4/25,True,n/a,2.41
4/26,False,n/a,5.82
4/27,True,n/a,0.75
4/29,False,n/a,4.43
4/30,True,n/a,4.88
5/1,True,n/a,4.5
5/2,False,n/a,6.67
5/4,True,n/a,4.26
5/6,True,n/a,6.0
5/7,True,n/a,6.04
5/8,False,n/a,6.68
5/10,True,n/a,4.86
5/11,False,n/a,4.08
5/12,False,n/a,4.12
5/14,True,n/a,3.91
5/15,True,n/a,4.61
5/16,False,n/a,3.0
5/18,False,n/a,2.66
5/19,False,n/a,4.57
5/21,False,n/a,3.68
5/22,False,n/a,2.38
5/23,False,n/a,2.55
5/25,False,n/a,3.23
5/27,False,n/a,3.41
5/28,True,n/a,3.09
5/30,True,n/a,2.38
5/31,True,n/a,5.11
6/4,False,n/a,4.4
6/7,True,n/a,inf
6/9,True,n/a,4.67
6/10,False,n/a,4.97
6/12,True,n/a,5.4
6/16,True,n/a,3.79
6/17,True,n/a,3.95
6/18,True,n/a,5.27
6/20,True,n/a,4.7
6/22,False,n/a,2.88
6/23,True,n/a,2.55
6/25,False,n/a,5.07
6/26,False,n/a,4.85
6/27,True,n/a,3.23
6/28,True,n/a,4.24
7/1,False,n/a,0.0
7/3,True,n/a,3.74
7/4,True,n/a,3.3
7/5,True,n/a,3.77
7/6,True,n/a,1.8
7/7,False,n/a,4.74
7/8,True,n/a,3.02
7/10,True,n/a,4.07
7/11,False,n/a,4.72
7/15,True,n/a,4.51
7/16,False,n/a,6.41
7/17,True,n/a,3.78
7/18,True,n/a,2.19
7/19,True,n/a,4.97
7/20,True,n/a,5.59
7/23,True,n/a,4.89
7/24,False,n/a,4.86
7/25,False,n/a,3.05
7/26,True,n/a,4.4
7/30,True,n/a,4.56
7/31,False,n/a,4.34
8/1,True,n/a,5.15
8/2,False,n/a,2.77
8/3,True,n/a,5.91
8/4,True,n/a,5.42
8/6,True,n/a,4.01
8/23,False,n/a,3.06
8/24,True,n/a,5.13
8/25,True,n/a,11.39
8/27,False,n/a,3.62
8/29,True,n/a,3.25
9/3,False,n/a,2.57
9/4,True,n/a,3.26
9/5,True,n/a,3.7
9/6,True,n/a,3.71
9/8,True,n/a,3.02
9/10,False,n/a,4.71
9/11,False,n/a,4.69
9/12,True,n/a,3.8
9/13,True,n/a,2.69
9/14,False,n/a,2.38
9/17,True,n/a,3.95
9/18,True,n/a,3.35
