date,hitVal,otherInfo,opPitcherEra
4/7,True,n/a,inf
4/14,True,n/a,4.5
4/15,False,n/a,3.0
4/16,True,n/a,4.5
4/20,True,n/a,6.36
4/22,False,n/a,0.0
4/24,False,n/a,2.2
5/1,False,n/a,3.8
5/2,True,n/a,1.85
5/4,False,n/a,0.52
5/9,True,n/a,4.99
5/16,False,n/a,3.51
5/21,True,n/a,5.09
5/23,True,n/a,2.72
5/27,True,n/a,4.79
5/30,False,n/a,2.9
6/1,True,n/a,2.94
6/5,True,n/a,inf
6/7,True,n/a,5.07
6/11,True,n/a,3.06
6/12,True,n/a,5.49
6/13,True,n/a,inf
6/15,False,n/a,3.92
6/17,True,n/a,2.9
6/18,True,n/a,4.04
6/19,True,n/a,2.66
6/20,False,n/a,5.08
6/22,True,n/a,3.13
6/26,True,n/a,5.07
6/27,False,n/a,3.91
6/28,True,n/a,5.14
6/29,False,n/a,3.16
7/1,True,n/a,5.14
7/3,True,n/a,3.43
7/4,True,n/a,2.93
7/7,False,n/a,2.1
7/10,True,n/a,3.1
7/11,False,n/a,3.0
7/18,True,n/a,1.96
7/20,True,n/a,5.1
7/22,True,n/a,1.62
7/24,True,n/a,4.82
7/25,True,n/a,0.0
7/26,True,n/a,6.03
7/27,True,n/a,5.22
7/28,True,n/a,4.39
7/29,True,n/a,4.13
7/31,False,n/a,3.22
8/3,False,n/a,3.54
8/4,True,n/a,2.7
8/6,False,n/a,5.37
8/8,True,n/a,4.59
8/11,True,n/a,3.63
8/12,False,n/a,3.06
8/14,True,n/a,5.62
8/15,True,n/a,5.46
8/17,True,n/a,3.17
8/19,False,n/a,2.73
8/27,True,n/a,3.07
8/29,True,n/a,2.4
8/30,True,n/a,3.67
8/31,False,n/a,3.95
9/3,False,n/a,inf
9/5,True,n/a,3.5
9/9,True,n/a,3.09
9/10,True,n/a,4.42
9/11,True,n/a,5.21
9/13,True,n/a,3.27
9/15,True,n/a,3.36
9/18,True,n/a,4.62
9/19,False,n/a,2.86
9/22,False,n/a,4.98
9/23,True,n/a,3.8
9/25,True,n/a,3.99
9/26,False,n/a,3.0
9/29,True,n/a,4.09
9/30,False,n/a,3.31
10/1,False,n/a,3.88
