date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,0.0
4/10,True,n/a,4.5
4/11,True,n/a,9.0
4/12,True,n/a,5.4
4/13,True,n/a,4.5
4/15,True,n/a,3.0
4/16,True,n/a,2.13
4/17,True,n/a,4.05
4/18,True,n/a,4.38
4/20,False,n/a,9.83
4/21,True,n/a,3.6
4/22,False,n/a,2.84
4/23,True,n/a,5.4
4/24,True,n/a,3.6
4/25,True,n/a,3.0
4/27,True,n/a,2.65
4/28,True,n/a,3.96
4/29,True,n/a,1.8
4/30,True,n/a,6.14
5/2,False,n/a,3.44
5/3,True,n/a,4.57
5/4,True,n/a,4.5
5/5,False,n/a,2.76
5/7,True,n/a,2.34
5/8,True,n/a,2.79
5/9,True,n/a,3.15
5/11,True,n/a,3.03
5/12,False,n/a,inf
5/15,True,n/a,4.41
5/16,True,n/a,4.5
5/17,True,n/a,6.44
5/18,True,n/a,3.88
5/19,False,n/a,3.88
5/20,False,n/a,4.93
5/21,True,n/a,2.15
5/22,True,n/a,3.33
5/25,True,n/a,3.86
5/26,True,n/a,5.26
5/27,True,n/a,6.1
5/29,True,n/a,5.58
5/30,False,n/a,7.29
5/31,True,n/a,3.74
6/1,True,n/a,4.84
6/2,True,n/a,5.77
6/3,False,n/a,5.68
6/4,False,n/a,4.48
6/6,True,n/a,4.73
6/7,True,n/a,5.86
6/8,True,n/a,2.74
6/9,False,n/a,4.78
6/10,True,n/a,3.29
6/11,False,n/a,3.2
6/13,False,n/a,2.11
6/15,False,n/a,6.05
6/16,True,n/a,3.74
6/18,False,n/a,2.66
6/19,True,n/a,2.41
6/20,True,n/a,6.75
6/21,True,n/a,3.02
6/22,False,n/a,4.53
6/25,True,n/a,6.5
6/26,False,n/a,13.51
6/27,False,n/a,5.43
6/30,True,n/a,5.22
7/1,True,n/a,6.2
7/2,True,n/a,3.88
7/3,True,n/a,4.69
7/4,False,n/a,3.68
7/5,False,n/a,5.11
7/7,True,n/a,4.97
7/9,True,n/a,3.96
7/10,False,n/a,5.98
7/11,True,n/a,2.95
