date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/8,False,n/a,inf
4/10,True,n/a,7.73
4/11,False,n/a,4.05
4/12,True,n/a,2.7
4/13,False,n/a,1.29
4/14,True,n/a,9.0
4/16,True,n/a,7.2
4/17,False,n/a,7.45
4/18,True,n/a,3.21
4/20,False,n/a,2.46
4/21,False,n/a,4.09
4/22,True,n/a,4.5
4/24,True,n/a,1.42
4/25,True,n/a,3.93
4/28,False,n/a,4.59
4/29,True,n/a,5.4
4/30,False,n/a,1.29
5/1,True,n/a,9.01
5/2,False,n/a,2.0
5/3,True,n/a,10.13
5/4,True,n/a,6.11
5/5,True,n/a,3.48
5/7,False,n/a,3.12
5/8,False,n/a,2.61
5/11,True,n/a,3.93
5/12,False,n/a,3.43
5/14,False,n/a,8.24
5/15,False,n/a,5.65
5/16,True,n/a,5.18
5/18,True,n/a,6.08
5/20,True,n/a,4.25
5/21,True,n/a,3.59
5/22,True,n/a,4.29
5/23,True,n/a,2.68
5/24,True,n/a,5.65
5/25,False,n/a,3.88
5/26,True,n/a,4.56
5/27,True,n/a,2.54
5/29,True,n/a,4.01
5/30,True,n/a,2.99
8/13,True,n/a,4.97
8/14,False,n/a,5.74
8/15,True,n/a,4.49
8/19,True,n/a,3.27
8/21,False,n/a,0.0
8/24,True,n/a,3.97
8/26,True,n/a,4.9
8/27,True,n/a,4.85
8/29,False,n/a,2.16
8/31,True,n/a,5.23
9/1,True,n/a,inf
9/4,True,n/a,4.6
9/6,False,n/a,3.45
9/7,False,n/a,3.61
9/8,False,n/a,5.25
9/12,True,n/a,6.9
9/17,False,n/a,3.6
9/18,True,n/a,3.48
9/19,True,n/a,5.05
9/21,False,n/a,2.84
9/24,True,n/a,4.13
9/26,True,n/a,2.98
9/29,False,n/a,5.77
10/1,True,n/a,3.79
10/2,False,n/a,3.26
10/3,True,n/a,2.16
