date,hitVal,otherInfo,opPitcherEra
4/6,False,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,3.86
4/12,False,n/a,1.13
4/13,True,n/a,0.0
4/14,True,n/a,3.52
4/15,False,n/a,4.09
4/16,False,n/a,2.77
4/17,True,n/a,3.46
4/23,True,n/a,8.44
4/24,True,n/a,5.63
4/25,True,n/a,6.38
4/27,False,n/a,2.19
4/28,True,n/a,3.0
4/29,False,n/a,3.2
4/30,True,n/a,5.09
5/1,True,n/a,inf
5/2,True,n/a,7.22
5/3,True,n/a,3.12
5/4,True,n/a,2.43
5/5,True,n/a,2.12
5/6,True,n/a,3.73
5/8,False,n/a,1.5
5/9,False,n/a,5.79
5/11,True,n/a,2.4
5/12,True,n/a,6.21
5/13,False,n/a,4.3
5/14,True,n/a,5.24
5/15,False,n/a,3.43
5/16,True,n/a,5.06
5/17,True,n/a,5.22
5/18,False,n/a,2.73
5/19,True,n/a,4.93
5/20,True,n/a,5.89
5/21,True,n/a,3.15
5/22,True,n/a,5.86
5/23,False,n/a,6.02
5/25,False,n/a,3.45
5/26,False,n/a,3.68
5/27,True,n/a,3.46
5/28,True,n/a,2.82
5/29,False,n/a,4.11
5/30,False,n/a,3.43
6/1,False,n/a,6.86
6/2,True,n/a,2.7
6/3,False,n/a,4.16
6/4,True,n/a,2.73
6/5,False,n/a,2.97
6/6,True,n/a,4.95
6/8,True,n/a,2.55
6/9,True,n/a,4.14
6/10,True,n/a,3.73
6/11,True,n/a,3.2
6/12,False,n/a,3.8
6/13,True,n/a,2.23
6/14,True,n/a,2.82
6/15,True,n/a,inf
6/16,True,n/a,3.12
6/18,True,n/a,3.05
6/19,False,n/a,2.71
6/20,False,n/a,3.07
6/22,True,n/a,3.22
6/23,True,n/a,4.9
6/24,True,n/a,4.44
6/25,False,n/a,3.55
6/26,True,n/a,2.82
6/27,True,n/a,4.52
6/29,False,n/a,4.71
6/30,True,n/a,5.02
7/1,True,n/a,2.88
7/2,True,n/a,5.21
7/3,False,n/a,2.86
7/4,True,n/a,4.46
7/5,True,n/a,3.0
7/6,True,n/a,4.5
7/7,False,n/a,4.88
7/8,True,n/a,1.98
7/9,True,n/a,5.51
7/10,True,n/a,1.13
7/11,True,n/a,3.24
7/16,True,n/a,3.71
7/17,True,n/a,4.86
7/18,True,n/a,3.44
7/19,False,n/a,4.69
7/20,True,n/a,4.05
7/21,True,n/a,4.86
7/22,False,n/a,3.48
7/23,True,n/a,1.68
7/24,True,n/a,5.15
7/25,True,n/a,4.94
7/26,False,n/a,4.71
7/27,True,n/a,3.52
7/28,False,n/a,inf
7/30,False,n/a,4.76
7/31,True,n/a,4.35
8/1,False,n/a,1.72
8/2,True,n/a,3.53
8/3,True,n/a,4.22
8/4,False,n/a,3.47
8/5,True,n/a,3.78
8/6,False,n/a,1.13
8/7,True,n/a,4.64
8/10,False,n/a,4.47
8/11,True,n/a,0.0
8/12,True,n/a,5.32
8/13,False,n/a,3.55
8/14,True,n/a,3.36
8/15,True,n/a,3.41
8/16,True,n/a,3.65
8/17,True,n/a,4.6
8/19,False,n/a,5.28
8/20,True,n/a,2.97
8/21,False,n/a,5.61
8/22,True,n/a,5.37
8/24,True,n/a,4.94
8/25,True,n/a,4.24
8/26,False,n/a,4.41
8/27,True,n/a,2.52
8/28,True,n/a,5.32
8/29,False,n/a,3.47
8/30,True,n/a,5.21
8/31,False,n/a,4.22
9/1,True,n/a,2.44
9/3,False,n/a,5.34
9/5,True,n/a,4.26
9/6,True,n/a,3.96
9/7,True,n/a,3.01
9/8,True,n/a,3.54
9/9,False,n/a,3.19
9/10,False,n/a,3.39
9/11,False,n/a,3.44
9/12,False,n/a,3.69
9/13,True,n/a,4.57
9/14,True,n/a,4.34
9/15,True,n/a,4.1
9/16,False,n/a,3.78
9/17,True,n/a,6.85
9/18,True,n/a,5.01
9/19,True,n/a,2.5
9/21,True,n/a,3.55
9/22,True,n/a,4.13
9/23,True,n/a,3.36
9/24,True,n/a,3.98
9/25,True,n/a,3.34
9/26,True,n/a,4.73
9/27,True,n/a,3.56
9/28,True,n/a,3.87
9/29,False,n/a,4.28
9/30,False,n/a,4.28
10/1,True,n/a,2.95
10/2,True,n/a,4.08
10/3,False,n/a,3.15
