date,hitVal,otherInfo,opPitcherEra
4/6,False,n/a,inf
4/9,True,n/a,inf
4/15,True,n/a,inf
4/16,True,n/a,0.0
4/22,True,n/a,2.7
4/25,True,n/a,7.45
4/29,True,n/a,4.38
5/1,True,n/a,1.55
5/2,False,n/a,4.68
5/4,True,n/a,4.4
5/9,False,n/a,3.93
5/10,True,n/a,5.41
5/12,False,n/a,5.74
5/14,True,n/a,4.57
5/15,True,n/a,2.36
5/16,True,n/a,4.77
5/17,True,n/a,6.36
5/18,False,n/a,7.47
5/19,True,n/a,3.38
5/26,False,n/a,3.25
5/29,False,n/a,5.25
6/1,False,n/a,5.76
6/4,True,n/a,3.81
6/10,False,n/a,inf
6/12,False,n/a,4.95
7/7,True,n/a,3.5
7/11,True,n/a,5.74
7/18,False,n/a,2.42
7/22,True,n/a,4.06
7/24,True,n/a,5.45
8/3,True,n/a,3.46
8/9,True,n/a,3.07
8/10,True,n/a,3.3
8/11,True,n/a,2.27
8/12,True,n/a,4.45
8/17,True,n/a,3.72
8/21,False,n/a,3.15
8/22,True,n/a,4.02
8/24,True,n/a,4.77
8/25,True,n/a,3.9
8/28,True,n/a,3.32
8/29,True,n/a,3.91
8/30,True,n/a,2.43
8/31,False,n/a,3.61
9/1,True,n/a,3.32
9/2,False,n/a,3.28
9/4,True,n/a,6.04
9/5,True,n/a,3.74
9/6,True,n/a,4.72
9/10,True,n/a,3.1
9/12,False,n/a,4.1
9/13,False,n/a,2.87
9/23,True,n/a,2.79
9/25,False,n/a,3.06
9/27,True,n/a,5.75
9/29,True,n/a,4.2
10/3,True,n/a,4.47
