date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,5.4
4/11,True,n/a,inf
4/12,True,n/a,9.0
4/14,True,n/a,4.77
4/15,True,n/a,inf
4/16,True,n/a,7.2
4/17,True,n/a,3.75
4/18,False,n/a,6.1
4/19,False,n/a,6.55
4/21,True,n/a,3.75
4/22,True,n/a,3.0
4/23,True,n/a,7.2
4/24,True,n/a,11.26
4/25,True,n/a,2.41
4/26,True,n/a,5.82
4/27,True,n/a,0.75
4/28,True,n/a,1.5
4/29,True,n/a,4.43
4/30,True,n/a,4.88
5/1,True,n/a,4.5
5/2,True,n/a,6.67
5/4,True,n/a,4.26
5/5,False,n/a,12.57
5/6,True,n/a,6.0
5/7,True,n/a,6.04
5/8,True,n/a,6.68
5/9,True,n/a,2.94
5/10,True,n/a,4.86
5/11,True,n/a,4.08
5/14,False,n/a,3.91
5/15,True,n/a,4.61
5/18,True,n/a,2.66
5/19,True,n/a,4.57
5/20,False,n/a,5.49
5/21,True,n/a,3.68
5/22,False,n/a,2.38
5/23,True,n/a,2.55
5/25,False,n/a,3.23
5/26,True,n/a,3.66
5/27,False,n/a,3.41
5/28,True,n/a,3.09
5/29,False,n/a,inf
5/30,True,n/a,2.38
6/4,False,n/a,4.4
6/5,False,n/a,2.78
6/7,True,n/a,inf
6/8,False,n/a,2.64
6/9,True,n/a,4.67
6/10,True,n/a,4.97
6/11,True,n/a,5.9
6/12,True,n/a,5.4
6/13,False,n/a,6.18
6/15,True,n/a,2.91
6/16,False,n/a,3.79
6/17,False,n/a,3.95
6/18,False,n/a,5.27
6/20,True,n/a,4.7
6/22,True,n/a,2.88
6/23,True,n/a,2.55
6/24,False,n/a,3.39
6/25,True,n/a,5.07
6/26,True,n/a,4.85
6/28,True,n/a,4.24
6/29,False,n/a,4.6
7/3,True,n/a,3.74
7/4,True,n/a,3.3
7/5,True,n/a,3.77
7/6,True,n/a,1.8
7/7,True,n/a,4.74
7/8,True,n/a,3.02
7/9,True,n/a,4.06
7/10,False,n/a,4.07
7/11,True,n/a,4.72
7/15,True,n/a,4.51
7/16,False,n/a,6.41
7/17,True,n/a,3.78
7/18,False,n/a,2.19
7/20,True,n/a,5.59
7/21,True,n/a,3.35
7/23,True,n/a,4.89
7/24,True,n/a,4.86
7/25,True,n/a,3.05
7/26,True,n/a,4.4
7/27,False,n/a,3.24
7/28,True,n/a,6.08
7/30,False,n/a,4.56
8/1,False,n/a,3.14
8/2,True,n/a,3.48
8/3,False,n/a,2.45
8/4,True,n/a,3.49
8/5,True,n/a,5.06
8/6,True,n/a,5.63
8/7,True,n/a,3.12
8/8,False,n/a,20.53
8/10,True,n/a,4.37
8/11,True,n/a,3.93
8/12,True,n/a,5.66
8/13,False,n/a,2.24
8/14,True,n/a,4.41
8/15,True,n/a,4.16
8/16,True,n/a,3.51
8/17,False,n/a,4.05
8/18,False,n/a,4.42
8/19,True,n/a,4.99
8/20,True,n/a,4.92
8/21,True,n/a,3.38
8/22,True,n/a,3.87
8/24,True,n/a,4.64
8/25,True,n/a,4.67
8/26,True,n/a,3.28
8/27,True,n/a,2.66
8/28,True,n/a,3.98
8/29,True,n/a,4.35
8/30,True,n/a,2.22
9/3,True,n/a,4.07
9/5,True,n/a,3.54
9/6,False,n/a,1.68
9/7,False,n/a,2.26
9/8,False,n/a,7.2
9/9,False,n/a,5.34
9/11,False,n/a,3.61
9/12,False,n/a,2.75
9/15,False,n/a,3.19
9/16,True,n/a,3.29
9/17,False,n/a,2.75
9/18,True,n/a,3.53
9/19,True,n/a,4.46
9/23,False,n/a,2.84
9/24,False,n/a,3.87
9/25,True,n/a,1.65
9/26,True,n/a,4.46
9/27,False,n/a,3.01
9/28,True,n/a,4.71
9/29,False,n/a,3.27
10/1,False,n/a,21.69
10/2,True,n/a,4.4
