date,hitVal,otherInfo,opPitcherEra
4/7,False,n/a,inf
4/8,True,n/a,inf
4/10,False,n/a,inf
4/15,True,n/a,2.57
4/17,True,n/a,18.92
4/22,False,n/a,3.21
4/23,True,n/a,11.58
4/25,True,n/a,4.59
4/27,True,n/a,6.95
4/28,True,n/a,2.63
4/29,False,n/a,5.0
5/1,True,n/a,5.68
5/2,True,n/a,4.1
5/3,True,n/a,4.23
5/4,True,n/a,3.75
5/6,False,n/a,10.57
5/8,False,n/a,4.78
5/12,False,n/a,1.98
5/16,True,n/a,3.86
5/19,False,n/a,3.46
5/27,False,n/a,6.69
5/28,True,n/a,3.45
5/31,True,n/a,2.03
6/3,True,n/a,3.5
6/5,True,n/a,3.03
6/11,False,n/a,2.44
6/28,True,n/a,4.21
6/29,True,n/a,3.68
6/30,False,n/a,3.0
7/1,False,n/a,2.72
7/3,True,n/a,4.68
7/4,True,n/a,4.76
7/6,True,n/a,6.98
7/9,True,n/a,3.85
7/10,False,n/a,4.81
7/11,True,n/a,5.93
7/15,True,n/a,3.29
7/16,True,n/a,4.2
7/18,True,n/a,4.36
7/19,True,n/a,5.13
7/20,False,n/a,5.32
7/21,False,n/a,4.67
7/23,True,n/a,4.58
7/25,True,n/a,4.87
7/26,False,n/a,3.59
7/30,True,n/a,3.57
7/31,True,n/a,2.75
8/2,False,n/a,inf
8/8,True,n/a,5.98
8/10,True,n/a,4.54
8/12,True,n/a,3.49
8/14,False,n/a,2.56
8/15,True,n/a,3.86
8/17,True,n/a,3.19
8/18,False,n/a,3.7
8/20,True,n/a,3.44
8/21,True,n/a,5.41
8/22,True,n/a,3.09
8/23,False,n/a,5.45
8/26,True,n/a,3.62
8/28,False,n/a,3.87
9/3,False,n/a,4.77
9/4,True,n/a,3.56
9/6,True,n/a,6.59
9/7,True,n/a,5.95
9/11,True,n/a,3.38
9/12,True,n/a,4.4
9/14,True,n/a,3.54
9/15,True,n/a,3.91
9/16,True,n/a,3.99
9/17,False,n/a,2.94
9/19,True,n/a,1.69
9/20,False,n/a,4.02
9/21,True,n/a,3.81
10/1,False,n/a,3.79
10/2,True,n/a,3.63
10/3,True,n/a,5.56
