date,hitVal,otherInfo,opPitcherEra
4/23,True,n/a,7.2
5/2,True,n/a,6.67
6/10,False,n/a,4.97
6/11,True,n/a,5.9
6/13,True,n/a,6.18
6/15,True,n/a,2.91
6/19,False,n/a,3.29
6/24,True,n/a,3.39
8/6,False,n/a,2.19
8/18,True,n/a,3.95
8/22,True,n/a,2.76
8/27,True,n/a,3.53
8/28,True,n/a,2.28
8/29,True,n/a,4.33
8/30,True,n/a,8.79
8/31,True,n/a,11.25
9/3,True,n/a,4.75
9/4,False,n/a,4.38
9/6,True,n/a,0.0
9/11,True,n/a,7.14
9/12,True,n/a,3.86
9/13,True,n/a,5.15
9/15,True,n/a,2.44
9/17,True,n/a,3.63
9/20,False,n/a,3.21
9/21,False,n/a,3.84
9/23,True,n/a,3.55
9/24,True,n/a,0.0
9/27,True,n/a,3.51
9/28,False,n/a,2.8
9/29,True,n/a,4.07
10/1,True,n/a,6.37
10/2,False,n/a,7.94
