date,hitVal,otherInfo,opPitcherEra
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/11,True,n/a,7.2
4/12,False,n/a,2.46
4/14,False,n/a,1.29
4/16,True,n/a,2.4
4/17,True,n/a,8.44
4/18,False,n/a,4.5
4/20,False,n/a,3.48
4/22,True,n/a,3.38
4/23,False,n/a,2.41
4/25,False,n/a,5.4
4/26,False,n/a,2.77
4/28,True,n/a,4.73
4/30,False,n/a,3.42
5/3,False,n/a,3.55
5/4,False,n/a,2.25
5/5,True,n/a,5.46
5/8,False,n/a,4.5
5/13,False,n/a,2.51
5/14,False,n/a,4.67
5/20,False,n/a,5.86
5/21,False,n/a,4.79
5/23,False,n/a,5.22
5/25,False,n/a,5.74
5/26,True,n/a,4.55
5/28,False,n/a,2.72
5/30,False,n/a,3.55
6/3,True,n/a,5.27
6/4,True,n/a,3.34
6/5,True,n/a,6.23
6/6,False,n/a,4.84
6/7,False,n/a,5.49
6/8,False,n/a,6.02
6/9,True,n/a,2.39
6/11,True,n/a,4.24
6/12,False,n/a,2.32
6/13,True,n/a,2.57
6/15,True,n/a,2.97
6/17,False,n/a,2.78
6/19,False,n/a,4.5
6/23,True,n/a,4.48
6/24,False,n/a,6.96
7/29,False,n/a,4.22
8/1,True,n/a,5.49
8/3,False,n/a,6.33
8/5,True,n/a,4.22
8/7,True,n/a,3.32
8/10,False,n/a,5.07
8/11,True,n/a,6.27
8/13,False,n/a,3.38
8/15,False,n/a,2.72
8/20,False,n/a,4.54
8/26,True,n/a,3.57
8/29,True,n/a,4.88
9/2,True,n/a,3.73
9/5,True,n/a,2.39
9/6,False,n/a,3.5
9/7,False,n/a,4.85
9/11,False,n/a,5.85
9/12,True,n/a,4.4
9/14,False,n/a,5.98
9/17,True,n/a,4.96
9/18,True,n/a,7.4
9/19,True,n/a,4.82
9/21,True,n/a,4.6
9/22,True,n/a,5.43
9/23,False,n/a,7.69
9/25,True,n/a,4.0
9/26,True,n/a,4.7
9/27,True,n/a,4.45
9/29,True,n/a,3.4
10/1,True,n/a,4.85
10/3,True,n/a,3.25
