date,hitVal,otherInfo
4/5,False,n/a
4/6,True,n/a
4/7,True,n/a
4/10,True,n/a
4/11,True,n/a
4/12,True,n/a
4/14,False,n/a
4/15,True,n/a
4/16,False,n/a
4/17,True,n/a
4/18,False,n/a
4/19,False,n/a
4/21,True,n/a
4/23,True,n/a
4/24,True,n/a
4/25,True,n/a
4/26,False,n/a
4/27,True,n/a
4/30,False,n/a
5/1,False,n/a
5/3,True,n/a
5/5,False,n/a
5/7,True,n/a
5/8,False,n/a
5/9,False,n/a
5/12,False,n/a
5/14,True,n/a
5/16,True,n/a
5/17,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,False,n/a
5/22,False,n/a
5/23,True,n/a
5/25,True,n/a
5/27,True,n/a
5/28,True,n/a
5/29,False,n/a
5/30,True,n/a
6/1,False,n/a
6/4,True,n/a
6/8,False,n/a
6/13,False,n/a
6/14,True,n/a
6/19,False,n/a
6/20,True,n/a
6/22,False,n/a
6/23,True,n/a
6/24,True,n/a
6/25,True,n/a
6/26,False,n/a
6/27,True,n/a
6/28,True,n/a
7/1,False,n/a
7/21,False,n/a
7/22,False,n/a
7/24,True,n/a
7/25,True,n/a
7/27,False,n/a
7/28,False,n/a
7/30,False,n/a
7/31,False,n/a
8/1,True,n/a
8/2,True,n/a
8/4,False,n/a
8/5,True,n/a
8/6,True,n/a
8/7,True,n/a
8/10,False,n/a
8/11,True,n/a
8/15,True,n/a
8/17,True,n/a
8/18,True,n/a
8/19,True,n/a
8/20,True,n/a
8/24,True,n/a
8/26,True,n/a
8/27,False,n/a
8/28,False,n/a
8/29,False,n/a
8/31,False,n/a
9/1,True,n/a
9/3,False,n/a
9/4,False,n/a
9/6,False,n/a
9/8,True,n/a
9/9,True,n/a
9/12,True,n/a
9/14,True,n/a
9/16,True,n/a
9/17,True,n/a
9/18,True,n/a
9/19,True,n/a
9/21,True,n/a
9/23,True,n/a
9/24,True,n/a
9/25,True,n/a
9/26,True,n/a
9/29,True,n/a
9/30,False,n/a
10/1,False,n/a
