date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,54.14
4/11,False,n/a,inf
4/12,True,n/a,4.05
4/13,True,n/a,1.8
4/14,False,n/a,2.84
4/15,False,n/a,6.3
4/17,True,n/a,24.32
4/18,False,n/a,5.73
4/20,True,n/a,5.73
4/21,True,n/a,1.2
4/22,True,n/a,8.05
4/23,False,n/a,3.12
4/24,False,n/a,1.8
4/25,True,n/a,3.38
4/27,True,n/a,4.27
4/28,True,n/a,5.94
4/29,True,n/a,2.42
4/30,False,n/a,0.94
5/1,True,n/a,6.55
5/2,True,n/a,3.48
5/3,True,n/a,4.36
5/4,True,n/a,7.15
5/5,True,n/a,3.1
5/7,True,n/a,2.9
5/8,True,n/a,2.48
5/9,True,n/a,2.95
5/10,False,n/a,3.6
5/11,True,n/a,10.3
5/12,True,n/a,5.13
5/14,False,n/a,1.18
5/15,False,n/a,2.08
5/16,True,n/a,1.7
5/17,True,n/a,3.06
5/18,True,n/a,3.99
5/19,True,n/a,5.79
5/20,True,n/a,2.88
5/21,True,n/a,4.27
5/22,True,n/a,3.33
5/23,False,n/a,5.36
5/24,True,n/a,4.91
5/25,True,n/a,4.5
6/1,True,n/a,2.0
6/2,False,n/a,2.93
6/4,True,n/a,2.15
6/5,True,n/a,4.71
6/6,True,n/a,5.88
6/7,False,n/a,2.79
6/8,False,n/a,2.36
6/9,True,n/a,2.63
6/10,True,n/a,5.72
6/11,False,n/a,4.75
6/12,True,n/a,4.5
6/13,True,n/a,4.05
6/15,True,n/a,3.3
6/16,True,n/a,3.13
6/17,True,n/a,3.38
6/18,True,n/a,2.88
6/19,True,n/a,3.61
6/20,False,n/a,6.63
6/21,True,n/a,4.21
6/22,True,n/a,3.78
6/23,False,n/a,5.22
6/25,False,n/a,5.62
6/26,False,n/a,4.87
6/27,True,n/a,4.09
6/28,True,n/a,4.71
6/29,True,n/a,6.53
6/30,True,n/a,2.29
7/1,True,n/a,3.01
7/2,True,n/a,3.58
7/3,True,n/a,4.96
7/4,False,n/a,3.12
7/5,True,n/a,2.93
7/6,False,n/a,3.41
7/7,False,n/a,3.62
7/8,True,n/a,4.7
7/9,True,n/a,6.27
7/10,True,n/a,2.33
7/11,True,n/a,4.06
7/16,True,n/a,4.09
7/17,False,n/a,4.94
7/18,True,n/a,4.88
7/19,False,n/a,3.35
7/20,True,n/a,4.85
7/21,True,n/a,2.03
7/23,True,n/a,6.09
7/24,True,n/a,3.12
7/25,True,n/a,5.12
7/26,False,n/a,5.2
7/27,True,n/a,2.45
7/28,True,n/a,5.93
7/30,True,n/a,3.57
7/31,True,n/a,4.37
8/1,False,n/a,3.99
8/4,True,n/a,4.42
8/6,False,n/a,3.49
8/7,False,n/a,4.4
8/8,True,n/a,4.5
8/9,True,n/a,2.91
8/10,True,n/a,2.53
8/11,True,n/a,2.07
8/13,True,n/a,1.97
8/14,True,n/a,7.2
8/15,False,n/a,3.33
8/17,True,n/a,1.59
8/19,True,n/a,3.86
8/20,False,n/a,3.73
8/21,True,n/a,3.66
8/22,True,n/a,3.03
8/23,True,n/a,3.11
8/24,True,n/a,3.47
8/25,True,n/a,3.2
8/27,True,n/a,3.7
8/28,True,n/a,4.56
8/29,True,n/a,5.69
8/30,True,n/a,4.74
8/31,True,n/a,3.5
9/1,False,n/a,5.53
9/3,False,n/a,2.33
9/4,True,n/a,2.3
9/5,False,n/a,2.92
9/6,True,n/a,2.69
9/7,True,n/a,3.69
9/8,True,n/a,5.21
9/9,False,n/a,4.25
9/10,False,n/a,5.44
9/11,True,n/a,9.66
9/12,True,n/a,5.75
9/13,True,n/a,2.95
9/14,True,n/a,1.91
9/15,True,n/a,4.88
9/16,True,n/a,5.13
9/17,True,n/a,3.62
9/18,True,n/a,3.27
9/19,True,n/a,2.85
9/20,True,n/a,4.12
9/25,True,n/a,3.55
9/26,True,n/a,3.53
9/28,True,n/a,3.67
9/30,False,n/a,2.89
10/1,True,n/a,0.0
10/3,True,n/a,4.18
