date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,3.0
4/12,True,n/a,1.5
4/14,True,n/a,0.0
4/15,True,n/a,11.88
4/16,True,n/a,8.31
4/17,False,n/a,0.0
4/18,True,n/a,12.97
4/20,True,n/a,13.5
4/21,True,n/a,2.37
4/22,True,n/a,14.73
4/23,True,n/a,3.15
4/24,False,n/a,inf
4/25,False,n/a,2.45
4/26,True,n/a,4.13
4/27,False,n/a,inf
4/28,False,n/a,4.01
4/29,False,n/a,0.82
4/30,True,n/a,3.75
5/1,True,n/a,6.2
5/2,False,n/a,2.57
5/4,True,n/a,3.07
5/5,True,n/a,4.85
5/6,False,n/a,7.5
5/7,True,n/a,8.07
5/8,True,n/a,1.8
5/9,True,n/a,3.65
5/10,False,n/a,2.83
5/11,False,n/a,2.82
5/12,True,n/a,6.16
5/14,True,n/a,4.38
5/15,False,n/a,4.98
5/16,True,n/a,4.54
5/17,False,n/a,4.07
5/18,True,n/a,5.66
5/19,True,n/a,5.0
5/20,False,n/a,4.41
5/22,True,n/a,4.71
5/23,False,n/a,4.11
5/25,True,n/a,5.36
5/26,False,n/a,2.66
5/27,True,n/a,3.25
5/28,False,n/a,3.41
5/29,True,n/a,5.1
5/30,True,n/a,1.5
5/31,True,n/a,4.05
6/1,True,n/a,4.65
6/2,False,n/a,4.31
6/3,True,n/a,2.19
6/4,True,n/a,2.28
6/5,True,n/a,6.36
6/6,True,n/a,1.32
6/8,True,n/a,3.61
6/9,True,n/a,6.14
6/10,True,n/a,3.77
6/11,False,n/a,5.34
6/12,True,n/a,5.73
6/13,False,n/a,3.41
6/14,True,n/a,4.35
6/15,False,n/a,3.52
6/16,False,n/a,4.77
6/18,True,n/a,4.53
6/19,True,n/a,3.29
6/20,True,n/a,5.16
6/22,True,n/a,4.41
6/23,True,n/a,2.98
6/24,True,n/a,5.81
6/25,False,n/a,5.99
6/26,False,n/a,2.45
6/27,True,n/a,2.66
6/28,True,n/a,6.8
6/29,True,n/a,3.2
6/30,True,n/a,5.65
7/1,True,n/a,5.12
7/2,False,n/a,2.27
7/3,True,n/a,2.7
7/4,False,n/a,2.34
7/5,False,n/a,3.26
7/6,True,n/a,4.5
7/7,True,n/a,3.28
7/8,True,n/a,3.75
7/9,False,n/a,4.5
7/10,False,n/a,4.71
7/11,True,n/a,5.25
7/15,True,n/a,5.4
7/16,True,n/a,4.14
7/17,True,n/a,2.3
7/18,True,n/a,4.36
7/19,True,n/a,4.87
7/20,True,n/a,5.14
7/21,False,n/a,5.38
7/22,True,n/a,4.62
7/23,False,n/a,5.5
7/24,True,n/a,4.14
7/25,True,n/a,inf
7/26,True,n/a,4.26
7/27,True,n/a,7.56
7/28,True,n/a,2.57
7/30,True,n/a,0.0
7/31,True,n/a,4.8
8/1,False,n/a,5.12
8/2,True,n/a,4.1
8/3,True,n/a,inf
8/4,False,n/a,3.92
8/6,True,n/a,4.49
8/7,True,n/a,3.1
8/8,True,n/a,4.45
8/9,True,n/a,4.4
8/10,True,n/a,2.81
8/11,False,n/a,1.15
8/12,True,n/a,4.66
8/13,True,n/a,5.01
8/14,True,n/a,4.8
8/15,True,n/a,2.55
8/17,False,n/a,2.71
8/18,True,n/a,1.99
8/20,True,n/a,3.46
8/21,False,n/a,4.63
8/22,True,n/a,3.25
8/24,True,n/a,2.1
8/25,True,n/a,3.48
8/26,False,n/a,3.63
8/27,False,n/a,3.97
8/28,True,n/a,5.1
8/29,False,n/a,9.35
8/30,True,n/a,4.83
8/31,True,n/a,5.02
9/1,False,n/a,3.49
9/3,False,n/a,3.31
9/4,False,n/a,2.27
9/5,True,n/a,4.72
9/6,True,n/a,4.03
9/7,False,n/a,7.12
9/8,True,n/a,2.35
9/10,False,n/a,4.24
9/11,False,n/a,3.76
9/12,False,n/a,5.81
9/13,False,n/a,2.91
9/15,True,n/a,2.81
9/17,True,n/a,3.28
9/18,True,n/a,3.6
9/19,True,n/a,4.02
9/20,True,n/a,4.85
9/21,True,n/a,5.0
9/22,True,n/a,3.35
9/23,True,n/a,3.46
9/24,True,n/a,8.17
9/25,False,n/a,4.82
9/26,False,n/a,1.56
9/28,False,n/a,3.75
9/29,True,n/a,3.95
9/30,True,n/a,2.0
10/1,True,n/a,3.38
10/2,True,n/a,4.59
10/3,False,n/a,5.25
