date,hitVal,otherInfo,opPitcherEra
7/20,True,n/a,4.09
7/22,True,n/a,4.78
7/23,True,n/a,6.71
7/25,True,n/a,4.34
7/26,True,n/a,5.04
7/27,True,n/a,3.73
7/28,False,n/a,3.01
7/29,True,n/a,3.62
7/31,True,n/a,4.41
8/1,False,n/a,5.59
8/2,True,n/a,4.68
8/3,True,n/a,3.52
8/5,False,n/a,3.69
8/6,True,n/a,4.4
8/7,True,n/a,4.41
8/8,True,n/a,3.67
8/9,True,n/a,6.75
8/10,True,n/a,3.58
8/11,True,n/a,3.61
8/12,True,n/a,3.6
8/13,True,n/a,2.79
8/14,True,n/a,3.01
8/15,False,n/a,4.79
8/16,True,n/a,4.7
8/17,True,n/a,7.23
8/20,True,n/a,3.49
8/21,True,n/a,6.65
8/22,True,n/a,3.59
8/23,True,n/a,inf
8/25,True,n/a,2.47
8/26,True,n/a,3.68
8/27,False,n/a,inf
8/29,True,n/a,7.25
8/30,True,n/a,3.63
8/31,False,n/a,4.22
9/2,True,n/a,4.05
9/3,False,n/a,4.29
9/5,True,n/a,4.11
9/6,False,n/a,3.64
9/9,True,n/a,8.31
9/10,True,n/a,3.49
9/12,False,n/a,3.72
9/14,True,n/a,2.44
9/16,False,n/a,3.54
9/19,False,n/a,4.85
9/20,True,n/a,4.43
9/22,True,n/a,8.46
9/24,True,n/a,4.85
9/25,True,n/a,4.56
9/27,True,n/a,4.48
