date,hitVal,otherInfo,opPitcherEra
4/1,True,n/a,inf
4/2,True,n/a,inf
4/3,False,n/a,inf
4/5,False,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,30.0
4/8,True,n/a,11.25
4/9,False,n/a,4.5
4/11,True,n/a,4.77
4/15,True,n/a,7.2
4/16,False,n/a,5.23
4/17,True,n/a,2.38
4/18,True,n/a,1.66
4/20,False,n/a,0.47
4/21,True,n/a,3.75
4/22,True,n/a,1.16
4/23,True,n/a,5.26
4/24,True,n/a,4.22
4/26,True,n/a,3.16
4/27,True,n/a,3.12
4/28,True,n/a,5.4
4/29,True,n/a,5.53
4/30,True,n/a,3.19
5/1,True,n/a,3.32
5/2,True,n/a,0.99
5/3,True,n/a,1.23
5/4,True,n/a,4.89
5/5,True,n/a,1.29
5/6,True,n/a,3.16
5/7,True,n/a,2.91
5/8,True,n/a,5.84
5/9,True,n/a,4.42
5/10,True,n/a,4.5
5/11,False,n/a,4.04
5/13,True,n/a,3.86
5/14,True,n/a,2.89
5/15,True,n/a,2.61
5/16,True,n/a,6.15
5/18,False,n/a,4.54
5/19,False,n/a,2.91
5/20,True,n/a,1.8
5/21,True,n/a,4.9
5/22,True,n/a,6.27
5/23,False,n/a,2.52
5/24,False,n/a,4.76
5/25,True,n/a,1.46
5/26,True,n/a,2.98
5/27,True,n/a,3.08
5/29,True,n/a,inf
5/30,True,n/a,3.0
5/31,False,n/a,2.85
6/1,True,n/a,3.69
6/3,True,n/a,2.08
6/4,True,n/a,2.31
6/5,True,n/a,3.68
6/7,True,n/a,3.34
6/8,True,n/a,3.86
6/9,True,n/a,2.8
6/10,True,n/a,4.17
6/11,True,n/a,4.5
6/12,True,n/a,4.98
6/14,True,n/a,2.85
6/15,False,n/a,3.03
6/17,True,n/a,2.68
6/18,True,n/a,3.2
6/19,True,n/a,3.76
6/20,True,n/a,4.27
6/21,True,n/a,4.06
6/22,False,n/a,4.36
6/24,False,n/a,3.29
6/25,True,n/a,2.54
6/26,True,n/a,4.86
6/28,False,n/a,2.87
6/29,False,n/a,2.83
6/30,True,n/a,2.49
7/2,True,n/a,5.55
7/3,True,n/a,4.75
7/4,True,n/a,4.56
7/5,False,n/a,7.24
7/6,True,n/a,2.75
7/7,True,n/a,4.74
7/8,True,n/a,3.47
7/9,True,n/a,4.65
7/10,True,n/a,1.5
7/15,True,n/a,3.7
7/16,True,n/a,2.33
7/17,False,n/a,4.53
7/18,True,n/a,5.65
7/19,True,n/a,4.45
7/20,True,n/a,5.1
7/22,True,n/a,3.26
7/23,True,n/a,2.7
7/24,True,n/a,3.24
7/25,True,n/a,7.32
7/27,True,n/a,3.3
7/28,True,n/a,5.29
7/29,False,n/a,4.11
7/30,True,n/a,3.27
7/31,True,n/a,3.22
8/1,True,n/a,4.01
8/2,True,n/a,0.71
8/3,True,n/a,4.67
8/4,True,n/a,2.56
8/5,True,n/a,3.3
8/6,True,n/a,2.55
8/7,False,n/a,3.22
8/8,True,n/a,3.01
8/9,False,n/a,5.03
8/10,True,n/a,4.58
8/12,True,n/a,2.83
8/13,True,n/a,3.31
8/14,False,n/a,6.55
8/16,True,n/a,2.8
8/17,True,n/a,3.76
8/18,True,n/a,4.89
8/19,True,n/a,4.76
8/23,True,n/a,3.83
8/24,True,n/a,3.28
8/25,False,n/a,3.3
8/26,True,n/a,3.25
8/27,True,n/a,3.28
8/30,True,n/a,2.99
8/31,True,n/a,6.46
9/1,True,n/a,5.26
9/2,True,n/a,4.3
9/3,True,n/a,4.2
9/4,True,n/a,3.54
9/5,True,n/a,3.52
9/6,True,n/a,3.78
9/7,True,n/a,4.78
9/8,True,n/a,2.97
9/9,True,n/a,4.5
9/10,True,n/a,2.9
9/11,True,n/a,2.77
9/13,True,n/a,5.12
9/14,True,n/a,3.01
9/15,False,n/a,2.96
9/16,True,n/a,2.7
9/17,True,n/a,3.97
9/18,True,n/a,3.34
9/19,True,n/a,4.22
9/20,True,n/a,inf
9/21,True,n/a,5.22
9/24,True,n/a,3.78
9/25,True,n/a,5.24
9/26,True,n/a,5.24
9/27,True,n/a,4.44
