date,hitVal,otherInfo,opPitcherEra
4/1,False,n/a,inf
4/2,True,n/a,inf
4/3,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,inf
4/6,True,n/a,inf
4/8,True,n/a,13.5
4/9,False,n/a,0.0
4/11,True,n/a,10.13
4/12,False,n/a,2.03
4/13,True,n/a,6.55
4/15,True,n/a,2.77
4/16,True,n/a,4.91
4/17,False,n/a,inf
4/18,False,n/a,4.8
4/20,True,n/a,1.83
4/22,False,n/a,4.91
4/23,True,n/a,4.09
4/24,False,n/a,3.33
4/25,False,n/a,6.75
4/26,True,n/a,3.0
4/29,True,n/a,6.0
4/30,True,n/a,4.02
5/1,True,n/a,5.64
5/2,True,n/a,3.52
5/3,False,n/a,4.46
5/4,True,n/a,4.46
5/6,False,n/a,5.67
5/8,True,n/a,inf
5/10,False,n/a,4.19
5/11,True,n/a,6.14
5/12,True,n/a,1.99
5/13,True,n/a,4.21
5/14,True,n/a,3.05
5/16,True,n/a,0.69
5/17,False,n/a,5.74
5/18,True,n/a,3.02
5/20,True,n/a,3.28
5/21,True,n/a,2.6
5/22,True,n/a,5.41
5/24,True,n/a,4.39
5/25,True,n/a,3.44
5/26,True,n/a,4.71
5/27,True,n/a,3.84
5/28,True,n/a,3.65
5/29,False,n/a,3.58
5/30,False,n/a,4.98
6/16,True,n/a,4.69
6/17,False,n/a,3.6
6/18,True,n/a,4.09
6/19,True,n/a,3.28
6/20,True,n/a,3.94
6/21,False,n/a,3.75
6/22,True,n/a,4.66
6/24,True,n/a,3.59
6/25,True,n/a,5.03
6/26,False,n/a,4.97
6/27,True,n/a,2.71
6/28,True,n/a,1.86
6/29,True,n/a,3.16
7/1,False,n/a,4.13
7/2,False,n/a,2.89
7/3,True,n/a,4.19
7/4,True,n/a,2.63
7/5,False,n/a,inf
7/6,True,n/a,3.77
7/7,True,n/a,3.74
7/8,True,n/a,4.4
7/9,True,n/a,3.74
7/10,False,n/a,3.08
7/14,True,n/a,3.59
7/15,False,n/a,3.7
7/16,False,n/a,5.23
7/18,False,n/a,2.45
7/19,False,n/a,2.82
7/20,False,n/a,2.15
7/22,True,n/a,3.6
7/23,False,n/a,3.67
7/24,True,n/a,4.56
7/26,False,n/a,4.45
7/28,True,n/a,3.35
7/29,True,n/a,inf
7/30,True,n/a,3.46
7/31,True,n/a,4.86
8/1,False,n/a,3.16
8/2,True,n/a,4.24
8/3,False,n/a,4.04
8/5,False,n/a,3.89
8/6,True,n/a,1.72
8/9,True,n/a,6.0
8/10,True,n/a,2.66
8/11,True,n/a,3.12
8/12,True,n/a,4.85
8/13,True,n/a,4.78
8/14,True,n/a,3.43
8/16,False,n/a,4.71
8/17,True,n/a,3.55
8/19,False,n/a,3.42
8/20,False,n/a,4.62
8/22,True,n/a,2.84
8/23,True,n/a,4.27
8/24,True,n/a,4.73
8/26,False,n/a,3.45
8/27,True,n/a,3.51
8/28,False,n/a,4.22
8/29,True,n/a,2.46
8/30,True,n/a,2.54
8/31,False,n/a,3.59
9/2,False,n/a,inf
9/3,True,n/a,6.27
9/5,True,n/a,4.1
9/6,True,n/a,4.12
9/7,False,n/a,2.29
9/9,False,n/a,4.69
9/10,True,n/a,4.63
9/12,True,n/a,4.21
9/13,False,n/a,4.0
9/14,False,n/a,2.36
9/16,True,n/a,3.51
9/17,False,n/a,5.02
9/19,True,n/a,4.4
9/20,False,n/a,3.4
9/21,True,n/a,3.45
9/23,True,n/a,3.66
9/24,True,n/a,3.47
9/25,False,n/a,3.73
9/27,True,n/a,1.66
