lahmanID,batAve2010Sorted,PA
ogandal01,1.0,1.0
janseke01,1.0,2.0
chacigu01,1.0,1.0
meekev01,1.0,2.0
bautide01,1.0,1.0
buchhta01,1.0,1.0
buchhcl01,1.0,1.0
chenbr01,1.0,2.0
campsh01,1.0,1.0
ciriape01,0.5,6.0
mcclemi01,0.5,2.0
clippty01,0.5,3.0
rogerma01,0.5,2.0
sosajo02,0.5,2.0
mccleky01,0.5,2.0
storedr01,0.5,2.0
matsuda01,0.5,5.0
pavanca01,0.5,8.0
shielja02,0.5,2.0
sogarer01,0.429,9.0
lackejo01,0.4,6.0
burriem01,0.4,5.0
lincobr01,0.4,18.0
valdera02,0.4,14.0
buddery01,0.4,11.0
harenda01,0.364,57.0
hamiljo03,0.359,571.0
pagnoma01,0.359,44.0
carlilu01,0.357,16.0
morneju01,0.345,348.0
paytoja01,0.343,36.0
gonzaca01,0.336,636.0
mejiaje01,0.333,3.0
bergebr02,0.333,3.0
leakemi01,0.333,60.0
sheetbe01,0.333,4.0
hillst01,0.333,3.0
malonma02,0.333,5.0
lucydo01,0.333,18.0
maybejo02,0.333,13.0
cabremi01,0.328,648.0
mauerjo01,0.327,584.0
narvech01,0.327,59.0
martios01,0.326,48.0
vottojo01,0.324,648.0
wellsca01,0.323,99.0
beltrad01,0.321,641.0
infanom01,0.321,506.0
canoro01,0.319,696.0
murphdo01,0.318,47.0
butlebi03,0.318,678.0
dejesda01,0.318,394.0
cruzne02,0.318,445.0
suzukic01,0.315,732.0
tulowtr01,0.315,529.0
pujolal01,0.312,700.0
hollima01,0.312,675.0
konerpa01,0.312,631.0
valenda01,0.311,322.0
scalebo01,0.308,20.0
vicieda01,0.308,106.0
johnsch05,0.308,362.0
smithgr02,0.308,16.0
pradoma01,0.307,651.0
zimmery01,0.307,603.0
crawfca02,0.307,657.0
youklke01,0.307,435.0
cainlo01,0.306,158.0
evansni01,0.306,37.0
fieldjo02,0.306,50.0
poseybu01,0.305,443.0
braunry02,0.304,684.0
rhymewi01,0.304,213.0
avilemi01,0.304,448.0
ordonma01,0.303,365.0
ruizca01,0.302,433.0
martivi01,0.302,538.0
castrst01,0.3,506.0
hanigry01,0.3,243.0
furcara01,0.3,428.0
choosh01,0.3,646.0
castiwe01,0.3,21.0
jayjo02,0.3,323.0
snydebr03,0.3,20.0
ramirha01,0.3,619.0
deazaal01,0.3,32.0
guerrvl01,0.3,643.0
tabatjo01,0.299,441.0
ramirma02,0.298,320.0
polanpl01,0.298,602.0
gonzaad01,0.298,692.0
youngde03,0.298,613.0
cousisc01,0.297,38.0
podsesc01,0.297,595.0
markani01,0.297,709.0
betemwi01,0.297,315.0
hernara02,0.297,352.0
walkene01,0.296,469.0
werthja01,0.296,652.0
freesda01,0.296,270.0
andinro01,0.295,66.0
leblawa01,0.295,49.0
sweenry01,0.294,331.0
longoev01,0.294,661.0
jacksau01,0.293,675.0
byrdma01,0.293,630.0
ethiean01,0.292,585.0
paulife01,0.292,29.0
sanchfr01,0.292,479.0
murphda07,0.291,467.0
nixla01,0.291,182.0
ellisma01,0.291,492.0
carroja01,0.291,414.0
cairomi01,0.29,226.0
moralke01,0.29,211.0
paganan01,0.29,633.0
huffau01,0.29,668.0
morsemi01,0.289,293.0
rossda01,0.289,145.0
thamema01,0.288,237.0
pedrodu01,0.288,351.0
swishni01,0.288,635.0
cunniaa01,0.288,147.0
keppije01,0.288,575.0
ugglada01,0.287,674.0
lowrije01,0.287,197.0
quirogu01,0.286,7.0
lewisco01,0.286,8.0
kinslia01,0.286,460.0
hughelu01,0.286,7.0
mendead01,0.286,10.0
mccutan01,0.286,653.0
tollest01,0.286,53.0
rolensc01,0.285,537.0
morame01,0.285,354.0
mcgehca01,0.285,670.0
scottlu01,0.284,517.0
davisra01,0.284,561.0
riosal01,0.284,617.0
johnske05,0.284,671.0
youngmi02,0.284,718.0
jonesad01,0.284,621.0
herrejo03,0.284,257.0
morrilo01,0.283,287.0
hartco01,0.283,614.0
fontemi01,0.283,261.0
thomeji01,0.283,340.0
blancgr01,0.283,269.0
wrighda03,0.283,670.0
reyesjo01,0.282,603.0
pencehu01,0.282,658.0
ramiral03,0.282,626.0
gloadro01,0.281,138.0
bruceja01,0.281,573.0
buckjo01,0.281,437.0
anderbr05,0.281,35.0
milesaa01,0.281,151.0
hunteto01,0.281,646.0
tatumcr01,0.281,126.0
nelsoch01,0.28,27.0
raburry01,0.28,410.0
nunezed02,0.28,53.0
sotoge01,0.28,387.0
gibboja01,0.28,80.0
crispco01,0.279,328.0
spilbry01,0.279,388.0
kendrho01,0.279,658.0
